transcript_id	intModel	chr	start	end	strand	module
ERV316A3_11q13.4b	ERV3-16A3_I-int	chr11	72541686	72545232	-	turquoise
ERV316A3_11q14.1a	ERV3-16A3_I-int	chr11	82214944	82217221	-	turquoise
ERV316A3_11q14.1b	ERV3-16A3_I-int	chr11	82266965	82267901	+	turquoise
ERV316A3_11q14.3a	ERV3-16A3_I-int	chr11	88699400	88701594	+	turquoise
ERV316A3_11q14.3c	ERV3-16A3_I-int	chr11	90705166	90707164	-	turquoise
ERV316A3_11q14.3d	ERV3-16A3_I-int	chr11	90833165	90835136	+	turquoise
ERV316A3_11q14.3e	ERV3-16A3_I-int	chr11	92133536	92134748	-	turquoise
ERV316A3_11q21a	ERV3-16A3_I-int	chr11	93433662	93436650	-	turquoise
ERV316A3_11q21c	ERV3-16A3_I-int	chr11	95542977	95547367	-	turquoise
ERV316A3_11q21d	ERV3-16A3_I-int	chr11	96870233	96871968	+	turquoise
ERV316A3_11q21e	ERV3-16A3_I-int	chr11	97208468	97209757	-	turquoise
ERV316A3_11q22.1a	ERV3-16A3_I-int	chr11	98043589	98045094	-	turquoise
ERV316A3_11q22.1b	ERV3-16A3_I-int	chr11	98045719	98048420	-	turquoise
ERV316A3_11q22.1c	ERV3-16A3_I-int	chr11	98825839	98827747	+	turquoise
ERV316A3_11q22.1e	ERV3-16A3_I-int	chr11	100515057	100520900	+	turquoise
ERV316A3_11q22.1f	ERV3-16A3_I-int	chr11	101179954	101182853	+	turquoise
ERV316A3_11q22.1g	ERV3-16A3_I-int	chr11	101272337	101274875	+	turquoise
ERV316A3_11q22.1h	ERV3-16A3_I-int	chr11	101797179	101798452	-	turquoise
ERV316A3_11q22.1i	ERV3-16A3_I-int	chr11	101839149	101844136	-	turquoise
ERV316A3_11q22.1k	ERV3-16A3_I-int	chr11	101858637	101860946	-	turquoise
ERV316A3_11q22.1m	ERV3-16A3_I-int	chr11	102273455	102275863	-	turquoise
ERV316A3_11q22.3a	ERV3-16A3_I-int	chr11	104589091	104591278	+	turquoise
ERV316A3_11q22.3b	ERV3-16A3_I-int	chr11	104658554	104660145	+	turquoise
ERV316A3_11q22.3d	ERV3-16A3_I-int	chr11	106207739	106209637	-	turquoise
ERV316A3_11q22.3e	ERV3-16A3_I-int	chr11	109318778	109320892	+	turquoise
ERV316A3_11q23.1a	ERV3-16A3_I-int	chr11	110737641	110740628	-	turquoise
ERV316A3_11q23.1b	ERV3-16A3_I-int	chr11	110740821	110742055	-	turquoise
ERV316A3_11q23.1d	ERV3-16A3_I-int	chr11	111545120	111548379	-	turquoise
ERV316A3_11q23.3a	ERV3-16A3_I-int	chr11	116090954	116092659	-	turquoise
ERV316A3_11q23.3b	ERV3-16A3_I-int	chr11	116092688	116094160	-	turquoise
ERV316A3_11q23.3c	ERV3-16A3_I-int	chr11	118295226	118302403	+	turquoise
ERV316A3_11q23.3d	ERV3-16A3_I-int	chr11	119631783	119634896	+	turquoise
ERV316A3_11q23.3e	ERV3-16A3_I-int	chr11	119925709	119932163	-	turquoise
ERV316A3_11q23.3f	ERV3-16A3_I-int	chr11	121092973	121099241	-	turquoise
ERV316A3_11q24.1	ERV3-16A3_I-int	chr11	122395578	122399222	+	turquoise
ERV316A3_11q24.2	ERV3-16A3_I-int	chr11	125770580	125773710	-	turquoise
ERV316A3_11q24.3a	ERV3-16A3_I-int	chr11	130587438	130589798	-	turquoise
ERV316A3_11q24.3b	ERV3-16A3_I-int	chr11	130592499	130594082	-	turquoise
ERV316A3_11q25a	ERV3-16A3_I-int	chr11	131066744	131069044	+	turquoise
ERV316A3_11q25b	ERV3-16A3_I-int	chr11	132585660	132588924	+	turquoise
ERV316A3_11q25e	ERV3-16A3_I-int	chr11	134699210	134701229	+	turquoise
ERV316A3_12p11.22a	ERV3-16A3_I-int	chr12	28176270	28178703	+	turquoise
ERV316A3_12p11.22c	ERV3-16A3_I-int	chr12	30146767	30152218	+	turquoise
ERV316A3_12p11.22d	ERV3-16A3_I-int	chr12	30172362	30177161	+	turquoise
ERV316A3_12p11.23a	ERV3-16A3_I-int	chr12	27043819	27044742	-	turquoise
ERV316A3_12p11.23b	ERV3-16A3_I-int	chr12	27044886	27046043	-	turquoise
ERV316A3_12p11.23c	ERV3-16A3_I-int	chr12	27163101	27164330	-	turquoise
ERV316A3_12p12.1a	ERV3-16A3_I-int	chr12	22702957	22705593	+	turquoise
ERV316A3_12p12.1b	ERV3-16A3_I-int	chr12	25437598	25442371	-	turquoise
ERV316A3_12p12.1c	ERV3-16A3_I-int	chr12	26292768	26295393	+	turquoise
ERV316A3_12p12.2b	ERV3-16A3_I-int	chr12	20225131	20226250	-	turquoise
ERV316A3_12p12.3a	ERV3-16A3_I-int	chr12	14876490	14877641	-	turquoise
ERV316A3_12p12.3b	ERV3-16A3_I-int	chr12	16420464	16422617	-	turquoise
ERV316A3_12p12.3c	ERV3-16A3_I-int	chr12	16443828	16447656	-	turquoise
ERV316A3_12p12.3e	ERV3-16A3_I-int	chr12	18812570	18814272	+	turquoise
ERV316A3_12p12.3f	ERV3-16A3_I-int	chr12	19695669	19700207	-	turquoise
ERV316A3_12p13.1	ERV3-16A3_I-int	chr12	14205806	14208695	-	turquoise
ERV316A3_12p13.33	ERV3-16A3_I-int	chr12	425246	428202	-	turquoise
ERV316A3_12q12b	ERV3-16A3_I-int	chr12	38563664	38569169	+	turquoise
ERV316A3_12q12c	ERV3-16A3_I-int	chr12	43339349	43341392	-	turquoise
ERV316A3_12q12d	ERV3-16A3_I-int	chr12	44399803	44403346	+	turquoise
ERV316A3_12q12e	ERV3-16A3_I-int	chr12	45546734	45548929	-	turquoise
ERV316A3_12q13.11a	ERV3-16A3_I-int	chr12	46001643	46004796	-	turquoise
ERV316A3_12q13.13	ERV3-16A3_I-int	chr12	52131842	52135265	+	turquoise
ERV316A3_12q14.1a	ERV3-16A3_I-int	chr12	58555574	58556952	-	turquoise
ERV316A3_12q14.1b	ERV3-16A3_I-int	chr12	59584092	59586722	-	turquoise
ERV316A3_12q14.1c	ERV3-16A3_I-int	chr12	60798354	60801847	-	turquoise
ERV316A3_12q14.1d	ERV3-16A3_I-int	chr12	62216000	62217837	+	turquoise
ERV316A3_12q14.1e	ERV3-16A3_I-int	chr12	62251539	62253373	-	turquoise
ERV316A3_12q14.2	ERV3-16A3_I-int	chr12	64555954	64561190	-	turquoise
ERV316A3_12q21.1	ERV3-16A3_I-int	chr12	74421901	74426024	-	turquoise
ERV316A3_12q21.2	ERV3-16A3_I-int	chr12	75438779	75443358	-	turquoise
ERV316A3_12q21.31b	ERV3-16A3_I-int	chr12	81996637	82000175	+	turquoise
ERV316A3_12q21.31c	ERV3-16A3_I-int	chr12	82005506	82009632	+	turquoise
ERV316A3_12q21.31d	ERV3-16A3_I-int	chr12	82115944	82118468	-	turquoise
ERV316A3_12q21.31e	ERV3-16A3_I-int	chr12	83188491	83190372	+	turquoise
ERV316A3_12q21.31f	ERV3-16A3_I-int	chr12	84118022	84119384	+	turquoise
ERV316A3_12q21.31g	ERV3-16A3_I-int	chr12	85926032	85927430	+	turquoise
ERV316A3_12q21.32a	ERV3-16A3_I-int	chr12	87031327	87035070	-	turquoise
ERV316A3_12q21.32b	ERV3-16A3_I-int	chr12	87435450	87436637	-	turquoise
ERV316A3_12q21.32c	ERV3-16A3_I-int	chr12	87673896	87675881	-	turquoise
ERV316A3_12q21.33a	ERV3-16A3_I-int	chr12	88684549	88685659	+	turquoise
ERV316A3_12q21.33c	ERV3-16A3_I-int	chr12	90278138	90284377	-	turquoise
ERV316A3_12q21.33d	ERV3-16A3_I-int	chr12	90313121	90315093	+	turquoise
ERV316A3_12q21.33e	ERV3-16A3_I-int	chr12	90901892	90906167	-	turquoise
ERV316A3_12q21.33f	ERV3-16A3_I-int	chr12	91259110	91263274	-	turquoise
ERV316A3_12q21.33g	ERV3-16A3_I-int	chr12	91392804	91394556	-	turquoise
ERV316A3_12q21.33h	ERV3-16A3_I-int	chr12	91396327	91399827	-	turquoise
ERV316A3_12q21.33i	ERV3-16A3_I-int	chr12	91404424	91409267	+	turquoise
ERV316A3_12q21.33j	ERV3-16A3_I-int	chr12	91562503	91563645	-	turquoise
ERV316A3_12q21.33k	ERV3-16A3_I-int	chr12	91927995	91929602	+	turquoise
ERV316A3_12q22	ERV3-16A3_I-int	chr12	94474303	94477806	-	turquoise
ERV316A3_12q23.2a	ERV3-16A3_I-int	chr12	102009044	102011228	+	turquoise
ERV316A3_12q23.2b	ERV3-16A3_I-int	chr12	102630382	102631485	-	turquoise
ERV316A3_12q23.3a	ERV3-16A3_I-int	chr12	105650017	105655637	+	turquoise
ERV316A3_12q23.3b	ERV3-16A3_I-int	chr12	105907541	105912052	+	turquoise
ERV316A3_12q23.3c	ERV3-16A3_I-int	chr12	108413975	108419008	-	turquoise
ERV316A3_12q23.3e	ERV3-16A3_I-int	chr12	108421653	108425860	-	turquoise
ERV316A3_12q24.11	ERV3-16A3_I-int	chr12	110181780	110183783	-	turquoise
ERV316A3_12q24.13	ERV3-16A3_I-int	chr12	112974379	112975753	+	turquoise
ERV316A3_12q24.21	ERV3-16A3_I-int	chr12	115722285	115725099	-	turquoise
ERV316A3_12q24.32b	ERV3-16A3_I-int	chr12	126677307	126680940	-	turquoise
ERV316A3_12q24.32d	ERV3-16A3_I-int	chr12	127678782	127682197	-	turquoise
ERV316A3_12q24.33	ERV3-16A3_I-int	chr12	133063358	133066776	-	turquoise
ERV316A3_13q12.12a	ERV3-16A3_I-int	chr13	23011352	23013772	-	turquoise
ERV316A3_13q12.12b	ERV3-16A3_I-int	chr13	23185538	23188084	-	turquoise
ERV316A3_13q12.13a	ERV3-16A3_I-int	chr13	26225832	26232365	-	turquoise
ERV316A3_13q13.1b	ERV3-16A3_I-int	chr13	33026467	33028287	-	turquoise
ERV316A3_13q13.2	ERV3-16A3_I-int	chr13	34404927	34409340	-	turquoise
ERV316A3_13q13.3a	ERV3-16A3_I-int	chr13	36260993	36261493	+	turquoise
ERV316A3_13q13.3b	ERV3-16A3_I-int	chr13	36265353	36267161	-	turquoise
ERV316A3_13q13.3c	ERV3-16A3_I-int	chr13	37142248	37147742	+	turquoise
ERV316A3_13q13.3e	ERV3-16A3_I-int	chr13	38307401	38312094	+	turquoise
ERV316A3_13q13.3f	ERV3-16A3_I-int	chr13	38561030	38562693	-	turquoise
ERV316A3_13q13.3g	ERV3-16A3_I-int	chr13	39165224	39169374	-	turquoise
ERV316A3_13q14.11a	ERV3-16A3_I-int	chr13	43941787	43943829	+	turquoise
ERV316A3_13q14.13	ERV3-16A3_I-int	chr13	46094507	46098944	+	turquoise
ERV316A3_13q14.3b	ERV3-16A3_I-int	chr13	54648338	54651707	-	turquoise
ERV316A3_13q21.1a	ERV3-16A3_I-int	chr13	56282347	56283388	-	turquoise
ERV316A3_13q21.1b	ERV3-16A3_I-int	chr13	57130792	57131810	-	turquoise
ERV316A3_13q21.1c	ERV3-16A3_I-int	chr13	57505844	57510168	-	turquoise
ERV316A3_13q21.1d	ERV3-16A3_I-int	chr13	58067414	58070575	+	turquoise
ERV316A3_13q21.31b	ERV3-16A3_I-int	chr13	63075231	63077914	-	turquoise
ERV316A3_13q21.31c	ERV3-16A3_I-int	chr13	64761281	64766277	-	turquoise
ERV316A3_13q21.31d	ERV3-16A3_I-int	chr13	65197835	65199550	-	turquoise
ERV316A3_13q21.32a	ERV3-16A3_I-int	chr13	65200039	65204269	-	turquoise
ERV316A3_13q21.32c	ERV3-16A3_I-int	chr13	65863193	65866807	+	turquoise
ERV316A3_13q21.32d	ERV3-16A3_I-int	chr13	67284504	67287091	+	turquoise
ERV316A3_13q21.32e	ERV3-16A3_I-int	chr13	67849592	67852438	-	turquoise
ERV316A3_13q21.33b	ERV3-16A3_I-int	chr13	69616063	69618494	-	turquoise
ERV316A3_13q22.2a	ERV3-16A3_I-int	chr13	75122354	75124757	+	turquoise
ERV316A3_13q22.2b	ERV3-16A3_I-int	chr13	76589678	76590803	-	turquoise
ERV316A3_13q22.3a	ERV3-16A3_I-int	chr13	77316330	77318289	-	turquoise
ERV316A3_13q22.3b	ERV3-16A3_I-int	chr13	77336186	77339601	+	turquoise
ERV316A3_13q31.1b	ERV3-16A3_I-int	chr13	79824676	79830995	+	turquoise
ERV316A3_13q31.1d	ERV3-16A3_I-int	chr13	82916478	82919887	-	turquoise
ERV316A3_13q31.1e	ERV3-16A3_I-int	chr13	85596256	85597805	-	turquoise
ERV316A3_13q31.1f	ERV3-16A3_I-int	chr13	86060136	86065069	-	turquoise
ERV316A3_13q31.1g	ERV3-16A3_I-int	chr13	87034225	87035999	-	turquoise
ERV316A3_13q31.2a	ERV3-16A3_I-int	chr13	87721021	87723003	+	turquoise
ERV316A3_13q31.2b	ERV3-16A3_I-int	chr13	88405869	88410184	+	turquoise
ERV316A3_13q31.2c	ERV3-16A3_I-int	chr13	89069770	89071913	+	turquoise
ERV316A3_13q31.3a	ERV3-16A3_I-int	chr13	89574728	89577047	-	turquoise
ERV316A3_13q31.3b	ERV3-16A3_I-int	chr13	89888851	89896607	-	turquoise
ERV316A3_13q31.3c	ERV3-16A3_I-int	chr13	90105726	90107807	-	turquoise
ERV316A3_13q31.3d	ERV3-16A3_I-int	chr13	90206878	90208500	-	turquoise
ERV316A3_13q31.3e	ERV3-16A3_I-int	chr13	90726719	90728480	+	turquoise
ERV316A3_13q31.3f	ERV3-16A3_I-int	chr13	91366365	91367539	-	turquoise
ERV316A3_13q32.1a	ERV3-16A3_I-int	chr13	94569687	94573776	+	turquoise
ERV316A3_13q32.1b	ERV3-16A3_I-int	chr13	95850245	95851184	+	turquoise
ERV316A3_13q32.3	ERV3-16A3_I-int	chr13	99342075	99343200	-	turquoise
ERV316A3_13q33.2	ERV3-16A3_I-int	chr13	104823722	104826982	-	turquoise
ERV316A3_13q33.3b	ERV3-16A3_I-int	chr13	109465321	109466932	+	turquoise
ERV316A3_14q11.2b	ERV3-16A3_I-int	chr14	18301693	18302900	-	turquoise
ERV316A3_14q11.2d	ERV3-16A3_I-int	chr14	20021103	20023816	+	turquoise
ERV316A3_14q11.2f	ERV3-16A3_I-int	chr14	20870868	20871718	+	turquoise
ERV316A3_14q11.2g	ERV3-16A3_I-int	chr14	22266973	22269032	+	turquoise
ERV316A3_14q12b	ERV3-16A3_I-int	chr14	25796936	25799750	+	turquoise
ERV316A3_14q12c	ERV3-16A3_I-int	chr14	26093796	26095151	+	turquoise
ERV316A3_14q12d	ERV3-16A3_I-int	chr14	27452834	27455091	-	turquoise
ERV316A3_14q12e	ERV3-16A3_I-int	chr14	28703002	28708591	+	turquoise
ERV316A3_14q12f	ERV3-16A3_I-int	chr14	29299954	29303478	-	turquoise
ERV316A3_14q12h	ERV3-16A3_I-int	chr14	32163942	32167734	+	turquoise
ERV316A3_14q13.1a	ERV3-16A3_I-int	chr14	32917581	32920199	+	turquoise
ERV316A3_14q13.1b	ERV3-16A3_I-int	chr14	33880548	33887380	+	turquoise
ERV316A3_14q13.3	ERV3-16A3_I-int	chr14	36375902	36379643	-	turquoise
ERV316A3_14q21.1b	ERV3-16A3_I-int	chr14	39483890	39486026	-	turquoise
ERV316A3_14q21.1c	ERV3-16A3_I-int	chr14	39786908	39789175	-	turquoise
ERV316A3_14q21.2b	ERV3-16A3_I-int	chr14	45285366	45286510	+	turquoise
ERV316A3_14q21.3a	ERV3-16A3_I-int	chr14	47147289	47148559	-	turquoise
ERV316A3_14q21.3b	ERV3-16A3_I-int	chr14	47657306	47659053	+	turquoise
ERV316A3_14q21.3c	ERV3-16A3_I-int	chr14	47766449	47768467	+	turquoise
ERV316A3_14q21.3d	ERV3-16A3_I-int	chr14	48503150	48505202	+	turquoise
ERV316A3_14q21.3e	ERV3-16A3_I-int	chr14	49090825	49092051	+	turquoise
ERV316A3_14q22.1	ERV3-16A3_I-int	chr14	51194956	51196939	+	turquoise
ERV316A3_14q22.2	ERV3-16A3_I-int	chr14	54078312	54081111	-	turquoise
ERV316A3_14q22.3b	ERV3-16A3_I-int	chr14	57254977	57257035	+	turquoise
ERV316A3_14q23.1a	ERV3-16A3_I-int	chr14	57816729	57818866	+	turquoise
ERV316A3_14q23.1b	ERV3-16A3_I-int	chr14	57975466	57977196	+	turquoise
ERV316A3_14q23.1c	ERV3-16A3_I-int	chr14	57977240	57979797	+	turquoise
ERV316A3_14q23.1d	ERV3-16A3_I-int	chr14	58990246	58993160	+	turquoise
ERV316A3_14q23.1e	ERV3-16A3_I-int	chr14	60609914	60614330	-	turquoise
ERV316A3_14q23.2b	ERV3-16A3_I-int	chr14	62424578	62426920	-	turquoise
ERV316A3_14q24.2a	ERV3-16A3_I-int	chr14	70236643	70237658	-	turquoise
ERV316A3_14q24.2b	ERV3-16A3_I-int	chr14	70273216	70275032	-	turquoise
ERV316A3_14q24.2c	ERV3-16A3_I-int	chr14	70427732	70428364	-	turquoise
ERV316A3_14q24.2d	ERV3-16A3_I-int	chr14	70464616	70465633	+	turquoise
ERV316A3_14q24.2e	ERV3-16A3_I-int	chr14	70514889	70519285	+	turquoise
ERV316A3_14q24.2f	ERV3-16A3_I-int	chr14	71132407	71138320	-	turquoise
ERV316A3_14q31.1b	ERV3-16A3_I-int	chr14	80976240	80978766	-	turquoise
ERV316A3_14q31.2	ERV3-16A3_I-int	chr14	83965475	83966579	-	turquoise
ERV316A3_14q31.3	ERV3-16A3_I-int	chr14	87867274	87869900	-	turquoise
ERV316A3_14q32.11a	ERV3-16A3_I-int	chr14	89703089	89706122	-	turquoise
ERV316A3_14q32.11c	ERV3-16A3_I-int	chr14	91036521	91038059	-	turquoise
ERV316A3_14q32.2a	ERV3-16A3_I-int	chr14	96635852	96639416	-	turquoise
ERV316A3_14q32.2d	ERV3-16A3_I-int	chr14	100762499	100766490	-	turquoise
ERV316A3_14q32.31a	ERV3-16A3_I-int	chr14	101508826	101512013	+	turquoise
ERV316A3_14q32.31b	ERV3-16A3_I-int	chr14	101590543	101596912	+	turquoise
ERV316A3_15q11.1a	ERV3-16A3_I-int	chr15	19852611	19853873	-	turquoise
ERV316A3_15q14a	ERV3-16A3_I-int	chr15	35549680	35551193	-	turquoise
ERV316A3_15q14b	ERV3-16A3_I-int	chr15	37149557	37155905	+	turquoise
