"gene","symbol","module","chromosome","gene_strand","TSS","promoter_start","promoter_end","erv_fragment_id","repeat_start","repeat_end","erv_strand","repName","repFamily","repeat_part","percent_divergence"
"ENSG00000182177.15","ASB18","blue","chr2","-",236264409,236263910,236266409,"chr2_236265912_236266243_MLT1L",236265912,236266243,"+","MLT1L","ERVL-MaLR","LTR_or_other",31.6
"ENSG00000185847.9","LINC01405","yellow","chr12","+",110934590,110932590,110935089,"chr12_110932733_110932797_LTR78",110932733,110932797,"-","LTR78","ERV1","LTR_or_other",29.3
"ENSG00000185847.9","LINC01405","yellow","chr12","+",110934590,110932590,110935089,"chr12_110934841_110935082_MLT1L",110934841,110935082,"-","MLT1L","ERVL-MaLR","LTR_or_other",28.4
"ENSG00000226074.5","PRSS44P","blue","chr3","-",46812486,46811987,46814486,"chr3_46813334_46815678_HERVL-int",46813334,46815678,"-","HERVL-int","ERVL","internal",6.4
"ENSG00000286651.2","PRSS43P","blue","chr3","-",46756857,46756358,46758857,"chr3_46756977_46757094_MLT1E3",46756977,46757094,"+","MLT1E3","ERVL-MaLR","LTR_or_other",20.2
"ENSG00000286651.2","PRSS43P","blue","chr3","-",46756857,46756358,46758857,"chr3_46757386_46757427_MLT1E3",46757386,46757427,"+","MLT1E3","ERVL-MaLR","LTR_or_other",23.5
"ENSG00000204099.12","NEU4","grey60","chr2","+",241809807,241807807,241810306,"chr2_241808249_241808863_PABL_A",241808249,241808863,"-","PABL_A","ERV1","LTR_or_other",11.2
"ENSG00000129988.6","LBP","lightcyan","chr20","+",38346482,38344482,38346981,"chr20_38344758_38344927_MLT1G",38344758,38344927,"-","MLT1G","ERVL-MaLR","LTR_or_other",28
"ENSG00000129988.6","LBP","lightcyan","chr20","+",38346482,38344482,38346981,"chr20_38346838_38347049_LTR16C",38346838,38347049,"-","LTR16C","ERVL","LTR_or_other",31.9
"ENSG00000185105.5","MYADML2","blue","chr17","-",81947137,81946638,81949137,"chr17_81947212_81947354_MER21B",81947212,81947354,"+","MER21B","ERVL","LTR_or_other",21.7
"ENSG00000185105.5","MYADML2","blue","chr17","-",81947137,81946638,81949137,"chr17_81947456_81947606_MER21B",81947456,81947606,"+","MER21B","ERVL","LTR_or_other",15.7
"ENSG00000170160.18","CCDC144A","grey","chr17","+",16689537,16687537,16690036,"chr17_16688803_16689044_LOR1b",16688803,16689044,"+","LOR1b","ERV1","LTR_or_other",14.8
"ENSG00000164434.12","FABP7","tan","chr6","+",122779716,122777716,122780215,"chr6_122777877_122778216_MER4D",122777877,122778216,"+","MER4D","ERV1","LTR_or_other",21.6
"ENSG00000048052.24","HDAC9","blue","chr7","+",18086949,18084949,18087448,"chr7_18084980_18085394_LTR82A",18084980,18085394,"-","LTR82A","ERVL","LTR_or_other",28.2
"ENSG00000188257.12","PLA2G2A","green","chr1","-",19980416,19979917,19982416,"chr1_19980833_19980917_MLT1I",19980833,19980917,"+","MLT1I","ERVL-MaLR","LTR_or_other",24.7
"ENSG00000188257.12","PLA2G2A","green","chr1","-",19980416,19979917,19982416,"chr1_19980976_19981429_MLT1C",19980976,19981429,"+","MLT1C","ERVL-MaLR","LTR_or_other",17.1
"ENSG00000188257.12","PLA2G2A","green","chr1","-",19980416,19979917,19982416,"chr1_19981939_19982511_LTR19B",19981939,19982511,"+","LTR19B","ERV1","LTR_or_other",10.9
"ENSG00000234438.5","KBTBD13","blue","chr15","+",65076746,65074746,65077245,"chr15_65074842_65076588_LTR12C",65074842,65076588,"+","LTR12C","ERV1","LTR_or_other",8.2
"ENSG00000115112.8","TFCP2L1","brown","chr2","-",121285202,121284703,121287202,"chr2_121286774_121287119_LTR16A",121286774,121287119,"+","LTR16A","ERVL","LTR_or_other",29.9
"ENSG00000261175.6","LINC02188","yellow","chr16","+",86710122,86708122,86710621,"chr16_86709156_86709318_MLT1L",86709156,86709318,"+","MLT1L","ERVL-MaLR","LTR_or_other",21.2
"ENSG00000261175.6","LINC02188","yellow","chr16","+",86710122,86708122,86710621,"chr16_86709931_86710291_THE1B",86709931,86710291,"+","THE1B","ERVL-MaLR","LTR_or_other",14
"ENSG00000116690.13","PRG4","green","chr1","+",186296279,186294279,186296778,"chr1_186294223_186294515_MLT1O",186294223,186294515,"-","MLT1O","ERVL-MaLR","LTR_or_other",34.8
"ENSG00000197299.13","BLM","brown","chr15","+",90717346,90715346,90717845,"chr15_90715527_90715770_LTR37A",90715527,90715770,"+","LTR37A","ERV1","LTR_or_other",19.6
"ENSG00000141526.18","SLC16A3","grey60","chr17","+",82217934,82215934,82218433,"chr17_82216112_82216271_MLT1C",82216112,82216271,"-","MLT1C","ERVL-MaLR","LTR_or_other",27.1
"ENSG00000163395.17","IGFN1","grey","chr1","+",201190824,201188824,201191323,"chr1_201188729_201188912_LTR84b",201188729,201188912,"+","LTR84b","ERVL","LTR_or_other",29.6
"ENSG00000172824.16","CES4A","brown","chr16","+",66988589,66986589,66989088,"chr16_66986822_66986892_LTR78",66986822,66986892,"+","LTR78","ERV1","LTR_or_other",28.6
"ENSG00000172824.16","CES4A","brown","chr16","+",66988589,66986589,66989088,"chr16_66987212_66987368_LTR78",66987212,66987368,"+","LTR78","ERV1","LTR_or_other",29.9
"ENSG00000113389.16","NPR3","grey","chr5","+",32689070,32687070,32689569,"chr5_32687045_32687222_LTR33B",32687045,32687222,"+","LTR33B","ERVL","LTR_or_other",34.5
"ENSG00000113389.16","NPR3","grey","chr5","+",32689070,32687070,32689569,"chr5_32687319_32687409_LTR67B",32687319,32687409,"+","LTR67B","ERVL","LTR_or_other",35.2
"ENSG00000113389.16","NPR3","grey","chr5","+",32689070,32687070,32689569,"chr5_32687874_32687931_LTR33A",32687874,32687931,"+","LTR33A","ERVL","LTR_or_other",22.8
"ENSG00000100292.18","HMOX1","black","chr22","+",35380361,35378361,35380860,"chr22_35378777_35378967_LTR48",35378777,35378967,"+","LTR48","ERV1","LTR_or_other",18.6
"ENSG00000100292.18","HMOX1","black","chr22","+",35380361,35378361,35380860,"chr22_35379132_35379600_LTR48",35379132,35379600,"+","LTR48","ERV1","LTR_or_other",24
"ENSG00000164418.22","GRIK2","grey60","chr6","+",101181257,101179257,101181756,"chr6_101181010_101181619_LTR16D",101181010,101181619,"-","LTR16D","ERVL","LTR_or_other",29.2
"ENSG00000205362.11","MT1A","black","chr16","+",56638666,56636666,56639165,"chr16_56637446_56637656_MSTB",56637446,56637656,"+","MSTB","ERVL-MaLR","LTR_or_other",23.7
"ENSG00000236345.2","SCAT8","brown","chr6","+",63805852,63803852,63806351,"chr6_63805603_63805978_THE1D",63805603,63805978,"+","THE1D","ERVL-MaLR","LTR_or_other",13.5
"ENSG00000142973.15","CYP4B1","brown","chr1","+",46757838,46755838,46758337,"chr1_46755331_46755992_PABL_B",46755331,46755992,"+","PABL_B","ERV1","LTR_or_other",5.5
"ENSG00000142973.15","CYP4B1","brown","chr1","+",46757838,46755838,46758337,"chr1_46756512_46757382_MER11D",46756512,46757382,"+","MER11D","ERVK","LTR_or_other",4
"ENSG00000286452.1","ENSG00000286452","blue","chr6","+",141403240,141401240,141403739,"chr6_141402823_141403281_LOR1a",141402823,141403281,"+","LOR1a","ERV1","LTR_or_other",11.1
"ENSG00000286452.1","ENSG00000286452","blue","chr6","+",141403240,141401240,141403739,"chr6_141403284_141405210_LOR1-int",141403284,141405210,"+","LOR1-int","ERV1","internal",13.9
"ENSG00000204792.2","LINC01291","grey","chr2","+",74918148,74916148,74918647,"chr2_74916987_74917025_MLT1I",74916987,74917025,"+","MLT1I","ERVL-MaLR","LTR_or_other",28
"ENSG00000204792.2","LINC01291","grey","chr2","+",74918148,74916148,74918647,"chr2_74917323_74917679_MLT1I",74917323,74917679,"+","MLT1I","ERVL-MaLR","LTR_or_other",28
"ENSG00000286689.1","ENSG00000286689","blue","chr3","+",15970003,15968003,15970502,"chr3_15969416_15969879_LTR16A",15969416,15969879,"-","LTR16A","ERVL","LTR_or_other",25.9
"ENSG00000286689.1","ENSG00000286689","blue","chr3","+",15970003,15968003,15970502,"chr3_15970012_15970320_LTR33A_",15970012,15970320,"+","LTR33A_","ERVL","LTR_or_other",27.3
"ENSG00000286689.1","ENSG00000286689","blue","chr3","+",15970003,15968003,15970502,"chr3_15970321_15970654_LTR16A",15970321,15970654,"+","LTR16A","ERVL","LTR_or_other",27.5
"ENSG00000231170.7","ENSG00000231170","brown","chr7","+",95545191,95543191,95545690,"chr7_95543218_95543337_LTR33",95543218,95543337,"+","LTR33","ERVL","LTR_or_other",27.5
"ENSG00000231170.7","ENSG00000231170","brown","chr7","+",95545191,95543191,95545690,"chr7_95543350_95543446_LTR33",95543350,95543446,"+","LTR33","ERVL","LTR_or_other",27.8
"ENSG00000146809.14","ASB15","blue","chr7","+",123567010,123565010,123567509,"chr7_123564969_123565389_MLT2B1",123564969,123565389,"-","MLT2B1","ERVL","LTR_or_other",20.8
"ENSG00000146809.14","ASB15","blue","chr7","+",123567010,123565010,123567509,"chr7_123565482_123565533_MLT2B4",123565482,123565533,"+","MLT2B4","ERVL","LTR_or_other",8.5
"ENSG00000146809.14","ASB15","blue","chr7","+",123567010,123565010,123567509,"chr7_123565534_123565596_MLT1C",123565534,123565596,"+","MLT1C","ERVL-MaLR","LTR_or_other",7.9
"ENSG00000146809.14","ASB15","blue","chr7","+",123567010,123565010,123567509,"chr7_123566042_123566434_MLT1C",123566042,123566434,"+","MLT1C","ERVL-MaLR","LTR_or_other",15.7
"ENSG00000106483.12","SFRP4","turquoise","chr7","-",38025695,38025196,38027695,"chr7_38027602_38027936_HERV16-int",38027602,38027936,"+","HERV16-int","ERVL","internal",33
"ENSG00000164694.17","FNDC1","blue","chr6","+",159169400,159167400,159169899,"chr6_159167334_159167771_MLT1D",159167334,159167771,"-","MLT1D","ERVL-MaLR","LTR_or_other",24.1
"ENSG00000172215.6","CXCR6","midnightblue","chr3","+",45940933,45938933,45941432,"chr3_45940148_45940860_MER50",45940148,45940860,"+","MER50","ERV1","LTR_or_other",14.1
"ENSG00000172215.6","CXCR6","midnightblue","chr3","+",45940933,45938933,45941432,"chr3_45940861_45941070_MER50-int",45940861,45941070,"+","MER50-int","ERV1","internal",19
"ENSG00000130957.5","FBP2","yellow","chr9","-",94593763,94593264,94595763,"chr9_94595199_94595436_MLT1L",94595199,94595436,"-","MLT1L","ERVL-MaLR","LTR_or_other",31
"ENSG00000164398.15","ACSL6","blue","chr5","-",132012243,132011744,132014243,"chr5_132014241_132014452_MLT1N2",132014241,132014452,"+","MLT1N2","ERVL-MaLR","LTR_or_other",29.6
"ENSG00000101670.12","LIPG","black","chr18","+",49560699,49558699,49561198,"chr18_49558848_49559286_MLT1N2",49558848,49559286,"-","MLT1N2","ERVL-MaLR","LTR_or_other",25.4
"ENSG00000183873.18","SCN5A","turquoise","chr3","-",38649687,38649188,38651687,"chr3_38650801_38650883_LTR12F",38650801,38650883,"+","LTR12F","ERV1","LTR_or_other",4.8
"ENSG00000169715.15","MT1E","black","chr16","+",56625475,56623475,56625974,"chr16_56623150_56623508_THE1B",56623150,56623508,"+","THE1B","ERVL-MaLR","LTR_or_other",13.4
"ENSG00000178882.15","RFLNA","blue","chr12","+",124149595,124147595,124150094,"chr12_124147181_124147595_MLT1L",124147181,124147595,"+","MLT1L","ERVL-MaLR","LTR_or_other",24.3
"ENSG00000140795.13","MYLK3","blue","chr16","-",46763246,46762747,46765246,"chr16_46765076_46765510_MLT1D",46765076,46765510,"-","MLT1D","ERVL-MaLR","LTR_or_other",22
"ENSG00000170525.21","PFKFB3","brown","chr10","+",6144934,6142934,6145433,"chr10_6142657_6142938_MER21C",6142657,6142938,"-","MER21C","ERVL","LTR_or_other",20.1
"ENSG00000129204.17","USP6","blue","chr17","+",5116032,5114032,5116531,"chr17_5114853_5115047_MLT1A",5114853,5115047,"+","MLT1A","ERVL-MaLR","LTR_or_other",17.5
"ENSG00000095203.15","EPB41L4B","brown","chr9","-",109321059,109320560,109323059,"chr9_109322590_109323024_MLT1D",109322590,109323024,"+","MLT1D","ERVL-MaLR","LTR_or_other",20.9
"ENSG00000042832.12","TG","grey","chr8","+",132866958,132864958,132867457,"chr8_132865212_132865601_MLT1B",132865212,132865601,"+","MLT1B","ERVL-MaLR","LTR_or_other",14.7
"ENSG00000196811.13","CHRNG","grey","chr2","+",232539692,232537692,232540191,"chr2_232537543_232537864_MLT1L",232537543,232537864,"-","MLT1L","ERVL-MaLR","LTR_or_other",30.8
"ENSG00000286677.1","ENSG00000286677","brown","chr8","+",38082122,38080122,38082621,"chr8_38079973_38080290_LTR56",38079973,38080290,"-","LTR56","ERV1","LTR_or_other",12.9
"ENSG00000286677.1","ENSG00000286677","brown","chr8","+",38082122,38080122,38082621,"chr8_38081124_38081815_LTR39",38081124,38081815,"+","LTR39","ERV1","LTR_or_other",15.1
"ENSG00000286677.1","ENSG00000286677","brown","chr8","+",38082122,38080122,38082621,"chr8_38081818_38082338_HERV1_LTRa",38081818,38082338,"-","HERV1_LTRa","ERV1","LTR_or_other",4.5
"ENSG00000286677.1","ENSG00000286677","brown","chr8","+",38082122,38080122,38082621,"chr8_38082342_38087554_HERV1_I-int",38082342,38087554,"-","HERV1_I-int","ERV1","internal",5.5
"ENSG00000096088.16","PGC","white","chr6","-",41754109,41753610,41756109,"chr6_41754194_41754284_MLT1O",41754194,41754284,"-","MLT1O","ERVL-MaLR","LTR_or_other",25.3
"ENSG00000147697.9","GSDMC","yellow","chr8","-",129786624,129786125,129788624,"chr8_129787525_129787840_MER65A",129787525,129787840,"-","MER65A","ERV1","LTR_or_other",15.6
"ENSG00000186628.12","FSD2","blue","chr15","-",82806070,82805571,82808070,"chr15_82806938_82807411_MLT2B4",82806938,82807411,"-","MLT2B4","ERVL","LTR_or_other",14.9
"ENSG00000186628.12","FSD2","blue","chr15","-",82806070,82805571,82808070,"chr15_82807437_82807777_MLT1A0",82807437,82807777,"+","MLT1A0","ERVL-MaLR","LTR_or_other",16.9
"ENSG00000224114.1","ENSG00000224114","grey","chr1","-",206696269,206695770,206698269,"chr1_206697329_206697739_MSTB",206697329,206697739,"-","MSTB","ERVL-MaLR","LTR_or_other",14.2
"ENSG00000145626.12","UGT3A1","blue","chr5","-",36001028,36000529,36003028,"chr5_36000068_36001700_PRIMA4-int",36000068,36001700,"+","PRIMA4-int","ERV1","internal",9
"ENSG00000145626.12","UGT3A1","blue","chr5","-",36001028,36000529,36003028,"chr5_36001673_36002098_PRIMA4-int",36001673,36002098,"-","PRIMA4-int","ERV1","internal",11.1
"ENSG00000119280.17","C1orf198","brown","chr1","-",230869589,230869090,230871589,"chr1_230870708_230871064_MLT1A0",230870708,230871064,"+","MLT1A0","ERVL-MaLR","LTR_or_other",18.7
"ENSG00000119280.17","C1orf198","brown","chr1","-",230869589,230869090,230871589,"chr1_230871130_230871479_MLT1A",230871130,230871479,"-","MLT1A","ERVL-MaLR","LTR_or_other",24.4
"ENSG00000267423.1","ENSG00000267423","blue","chr19","+",28509238,28507238,28509737,"chr19_28507520_28507714_LTR37B",28507520,28507714,"+","LTR37B","ERV1","LTR_or_other",26.7
"ENSG00000267423.1","ENSG00000267423","blue","chr19","+",28509238,28507238,28509737,"chr19_28507715_28508187_MER65D",28507715,28508187,"+","MER65D","ERV1","LTR_or_other",19.9
"ENSG00000267423.1","ENSG00000267423","blue","chr19","+",28509238,28507238,28509737,"chr19_28508471_28508545_MER65D",28508471,28508545,"+","MER65D","ERV1","LTR_or_other",19.9
"ENSG00000267423.1","ENSG00000267423","blue","chr19","+",28509238,28507238,28509737,"chr19_28508546_28508606_LTR37B",28508546,28508606,"+","LTR37B","ERV1","LTR_or_other",26.7
"ENSG00000205312.8","KRT17P4","darkgreen","chr17","-",16851908,16851409,16853908,"chr17_16852787_16853018_LTR14A",16852787,16853018,"-","LTR14A","ERVK","LTR_or_other",5.5
"ENSG00000067057.18","PFKP","black","chr10","+",3066333,3064333,3066832,"chr10_3064226_3064761_MLT1F2",3064226,3064761,"+","MLT1F2","ERVL-MaLR","LTR_or_other",29.5
"ENSG00000168333.14","PPDPFL","grey","chr8","+",49054311,49052311,49054810,"chr8_49053511_49053863_THE1A",49053511,49053863,"-","THE1A","ERVL-MaLR","LTR_or_other",9.3
"ENSG00000138435.16","CHRNA1","red","chr2","-",174787935,174787436,174789935,"chr2_174788567_174789326_LTR1A2",174788567,174789326,"+","LTR1A2","ERV1","LTR_or_other",13.9
"ENSG00000268555.2","ENSG00000268555","red","chr19","-",21587322,21586823,21589322,"chr19_21588571_21589080_MER9a1",21588571,21589080,"+","MER9a1","ERVK","LTR_or_other",6.1
"ENSG00000077009.14","NMRK2","yellow","chr19","+",3933069,3931069,3933568,"chr19_3931739_3931936_MER31A",3931739,3931936,"+","MER31A","ERV1","LTR_or_other",20
"ENSG00000100344.11","PNPLA3","greenyellow","chr22","+",43923792,43921792,43924291,"chr22_43922485_43922760_MLT1A0",43922485,43922760,"+","MLT1A0","ERVL-MaLR","LTR_or_other",20.7
"ENSG00000100344.11","PNPLA3","greenyellow","chr22","+",43923792,43921792,43924291,"chr22_43923020_43923100_MLT1A0",43923020,43923100,"+","MLT1A0","ERVL-MaLR","LTR_or_other",20.7
"ENSG00000144837.9","PLA1A","brown","chr3","+",119597875,119595875,119598374,"chr3_119596092_119596526_LTR16B",119596092,119596526,"+","LTR16B","ERVL","LTR_or_other",25.6
"ENSG00000168878.19","SFTPB","skyblue","chr2","-",85668741,85668242,85670741,"chr2_85669883_85669946_MLT1J2",85669883,85669946,"-","MLT1J2","ERVL-MaLR","LTR_or_other",28.8
"ENSG00000168878.19","SFTPB","skyblue","chr2","-",85668741,85668242,85670741,"chr2_85670573_85670910_MLT1J2",85670573,85670910,"-","MLT1J2","ERVL-MaLR","LTR_or_other",28.8
"ENSG00000091704.10","CPA1","white","chr7","+",130380339,130378339,130380838,"chr7_130378896_130378953_LTR16B2",130378896,130378953,"+","LTR16B2","ERVL","LTR_or_other",17.2
"ENSG00000285569.3","ENSG00000285569","brown","chr2","+",11405508,11403508,11406007,"chr2_11403830_11404266_LTR33",11403830,11404266,"+","LTR33","ERVL","LTR_or_other",20.9
"ENSG00000154096.14","THY1","blue","chr11","-",119424985,119424486,119426985,"chr11_119426161_119426630_LTR53",119426161,119426630,"-","LTR53","ERVL","LTR_or_other",18.2
"ENSG00000100033.17","PRODH","brown","chr22","-",18936410,18935911,18938410,"chr22_18938120_18938550_LTR7B",18938120,18938550,"-","LTR7B","ERV1","LTR_or_other",5.1
"ENSG00000226025.10","LGALS17A","lightcyan","chr19","+",39679374,39677374,39679873,"chr19_39677918_39678179_ERVL-B4-int",39677918,39678179,"-","ERVL-B4-int","ERVL","internal",20.6
"ENSG00000175262.14","C1orf127","blue","chr1","-",10982037,10981538,10984037,"chr1_10983394_10983605_MLT1B",10983394,10983605,"+","MLT1B","ERVL-MaLR","LTR_or_other",17.5
"ENSG00000206561.14","COLQ","blue","chr3","-",15521751,15521252,15523751,"chr3_15522914_15523429_MLT1H",15522914,15523429,"+","MLT1H","ERVL-MaLR","LTR_or_other",24.1
"ENSG00000140798.17","ABCC12","blue","chr16","-",48156018,48155519,48158018,"chr16_48158000_48158703_MER39",48158000,48158703,"-","MER39","ERV1","LTR_or_other",15.6
"ENSG00000227471.9","AKR1B15","brown","chr7","+",134549110,134547110,134549609,"chr7_134547175_134547687_HERVI-int",134547175,134547687,"+","HERVI-int","ERV1","internal",27.4
"ENSG00000227471.9","AKR1B15","brown","chr7","+",134549110,134547110,134549609,"chr7_134547812_134548478_HERVI-int",134547812,134548478,"+","HERVI-int","ERV1","internal",25.3
"ENSG00000227471.9","AKR1B15","brown","chr7","+",134549110,134547110,134549609,"chr7_134548479_134549049_LTR6A",134548479,134549049,"+","LTR6A","ERV1","LTR_or_other",17.1
"ENSG00000227471.9","AKR1B15","brown","chr7","+",134549110,134547110,134549609,"chr7_134549071_134551552_HERVS71-int",134549071,134551552,"+","HERVS71-int","ERV1","internal",22
"ENSG00000205215.8","KRT17P7","darkgreen","chr17","-",20528687,20528188,20530687,"chr17_20528198_20528567_MLT1C-int",20528198,20528567,"-","MLT1C-int","ERVL-MaLR","internal",23.2
"ENSG00000205215.8","KRT17P7","darkgreen","chr17","-",20528687,20528188,20530687,"chr17_20529995_20530430_MLT1C",20529995,20530430,"-","MLT1C","ERVL-MaLR","LTR_or_other",24.7
"ENSG00000285564.2","ENSG00000285564","blue","chr6","-",163346744,163346245,163348744,"chr6_163348105_163348568_MLT1D",163348105,163348568,"+","MLT1D","ERVL-MaLR","LTR_or_other",18.8
"ENSG00000169436.17","COL22A1","darkgrey","chr8","-",138914041,138913542,138916041,"chr8_138915291_138915877_MER41B",138915291,138915877,"+","MER41B","ERV1","LTR_or_other",14.2
"ENSG00000091986.16","CCDC80","blue","chr3","-",112649530,112649031,112651530,"chr3_112650533_112650970_MLT1F",112650533,112650970,"+","MLT1F","ERVL-MaLR","LTR_or_other",21.2
"ENSG00000151632.18","AKR1C2","red","chr10","-",5018031,5017532,5020031,"chr10_5016141_5017765_MSTA-int",5016141,5017765,"-","MSTA-int","ERVL-MaLR","internal",16.2
"ENSG00000151632.18","AKR1C2","red","chr10","-",5018031,5017532,5020031,"chr10_5017766_5018153_MSTA",5017766,5018153,"-","MSTA","ERVL-MaLR","LTR_or_other",15.7
"ENSG00000151632.18","AKR1C2","red","chr10","-",5018031,5017532,5020031,"chr10_5018190_5018292_MER31B",5018190,5018292,"+","MER31B","ERV1","LTR_or_other",19.6
"ENSG00000151632.18","AKR1C2","red","chr10","-",5018031,5017532,5020031,"chr10_5018296_5018643_LTR49",5018296,5018643,"+","LTR49","ERV1","LTR_or_other",16.9
"ENSG00000158022.7","TRIM63","brown","chr1","-",26068436,26067937,26070436,"chr1_26070420_26070913_MLT1L",26070420,26070913,"+","MLT1L","ERVL-MaLR","LTR_or_other",29.1
"ENSG00000196465.10","MYL6B","yellow","chr12","+",56152256,56150256,56152755,"chr12_56150241_56150343_MER21B",56150241,56150343,"+","MER21B","ERVL","LTR_or_other",24
"ENSG00000163492.16","CCDC141","blue","chr2","-",179050137,179049638,179052137,"chr2_179051587_179051988_LTR7",179051587,179051988,"-","LTR7","ERV1","LTR_or_other",9.1
"ENSG00000163492.16","CCDC141","blue","chr2","-",179050137,179049638,179052137,"chr2_179051992_179052364_HERVH-int",179051992,179052364,"-","HERVH-int","ERV1","internal",11.1
"ENSG00000172179.13","PRL","white","chr6","-",22302826,22302327,22304826,"chr6_22302484_22302981_MER39",22302484,22302981,"-","MER39","ERV1","LTR_or_other",20.7
"ENSG00000131203.13","IDO1","blue","chr8","+",39902275,39900275,39902774,"chr8_39901834_39902357_LTR48B",39901834,39902357,"+","LTR48B","ERV1","LTR_or_other",23.3
"ENSG00000131203.13","IDO1","blue","chr8","+",39902275,39900275,39902774,"chr8_39902360_39903639_LTR49-int",39902360,39903639,"+","LTR49-int","ERV1","internal",24
"ENSG00000253227.2","ENSG00000253227","grey","chr8","+",124271667,124269667,124272166,"chr8_124271205_124271587_MLT1B",124271205,124271587,"+","MLT1B","ERVL-MaLR","LTR_or_other",18.4
"ENSG00000188372.15","ZP3","grey","chr7","+",76424950,76422950,76425449,"chr7_76423084_76423180_LTR35A",76423084,76423180,"-","LTR35A","ERV1","LTR_or_other",13.4
"ENSG00000188372.15","ZP3","grey","chr7","+",76424950,76422950,76425449,"chr7_76423227_76423639_LTR35A",76423227,76423639,"-","LTR35A","ERV1","LTR_or_other",14.5
