"gene","symbol_gtf","gene_type","chromosome","gene_start","gene_end","strand","gene_clean","TSS","gene_length"
"ENSG00000286989.1","ENSG00000286989","lncRNA","chr1",1600314,1602703,"+","ENSG00000286989",1600314,2390
"ENSG00000272106.1","ENSG00000272106","lncRNA","chr1",1613758,1615795,"-","ENSG00000272106",1615795,2038
"ENSG00000197530.13","MIB2","protein_coding","chr1",1615879,1630605,"+","ENSG00000197530",1615879,14727
"ENSG00000189409.14","MMP23B","protein_coding","chr1",1632163,1635224,"+","ENSG00000189409",1632163,3062
"ENSG00000248333.9","CDK11B","protein_coding","chr1",1635264,1659012,"-","ENSG00000248333",1659012,23749
"ENSG00000272004.1","ENSG00000272004","lncRNA","chr1",1659325,1659452,"+","ENSG00000272004",1659325,128
"ENSG00000189339.12","SLC35E2B","protein_coding","chr1",1659529,1692795,"-","ENSG00000189339",1692795,33267
"ENSG00000269737.2","ENSG00000269737","transcribed_processed_pseudogene","chr1",1671990,1674397,"+","ENSG00000269737",1671990,2408
"ENSG00000215914.4","MMP23A","unprocessed_pseudogene","chr1",1699942,1701782,"+","ENSG00000215914",1699942,1841
"ENSG00000008128.23","CDK11A","protein_coding","chr1",1702379,1724357,"-","ENSG00000008128",1724357,21979
"ENSG00000227775.3","ENSG00000227775","transcribed_processed_pseudogene","chr1",1724512,1737251,"+","ENSG00000227775",1724512,12740
"ENSG00000215790.8","SLC35E2A","transcribed_unprocessed_pseudogene","chr1",1724838,1745992,"-","ENSG00000215790",1745992,21155
"ENSG00000008130.15","NADK","protein_coding","chr1",1751232,1780457,"-","ENSG00000008130",1780457,29226
"ENSG00000078369.18","GNB1","protein_coding","chr1",1785285,1891117,"-","ENSG00000078369",1891117,105833
"ENSG00000231050.2","ENSG00000231050","lncRNA","chr1",1891223,1892726,"+","ENSG00000231050",1891223,1504
"ENSG00000169885.10","CALML6","protein_coding","chr1",1915108,1917296,"+","ENSG00000169885",1915108,2189
"ENSG00000178821.13","TMEM52","protein_coding","chr1",1917590,1919279,"-","ENSG00000178821",1919279,1690
"ENSG00000142609.20","CFAP74","protein_coding","chr1",1921951,2003837,"-","ENSG00000142609",2003837,81887
"ENSG00000233542.2","ENSG00000233542","lncRNA","chr1",2013213,2015639,"-","ENSG00000233542",2015639,2427
"ENSG00000187730.9","GABRD","protein_coding","chr1",2019329,2030758,"+","ENSG00000187730",2019329,11430
"ENSG00000226969.1","ENSG00000226969","lncRNA","chr1",2049203,2050070,"-","ENSG00000226969",2050070,868
"ENSG00000067606.17","PRKCZ","protein_coding","chr1",2050411,2175313,"+","ENSG00000067606",2050411,124903
"ENSG00000271806.1","ENSG00000271806","lncRNA","chr1",2141084,2145279,"-","ENSG00000271806",2145279,4196
"ENSG00000182873.5","PRKCZ-AS1","lncRNA","chr1",2181794,2184389,"-","ENSG00000182873",2184389,2596
"ENSG00000162585.17","FAAP20","protein_coding","chr1",2184461,2212720,"-","ENSG00000162585",2212720,28260
"ENSG00000234396.3","ENSG00000234396","lncRNA","chr1",2212523,2220738,"+","ENSG00000234396",2212523,8216
"ENSG00000157933.10","SKI","protein_coding","chr1",2228319,2310213,"+","ENSG00000157933",2228319,81895
"ENSG00000287356.1","ENSG00000287356","lncRNA","chr1",2315040,2323085,"+","ENSG00000287356",2315040,8046
"ENSG00000116151.14","MORN1","protein_coding","chr1",2324097,2391707,"-","ENSG00000116151",2391707,67611
"ENSG00000272161.1","ENSG00000272161","lncRNA","chr1",2326201,2326693,"-","ENSG00000272161",2326693,493
"ENSG00000269896.2","ENSG00000269896","transcribed_processed_pseudogene","chr1",2350414,2352820,"-","ENSG00000269896",2352820,2407
"ENSG00000272420.1","ENSG00000272420","lncRNA","chr1",2363061,2363628,"-","ENSG00000272420",2363628,568
"ENSG00000157916.20","RER1","protein_coding","chr1",2391775,2403963,"+","ENSG00000157916",2391775,12189
"ENSG00000157911.11","PEX10","protein_coding","chr1",2405443,2413797,"-","ENSG00000157911",2413797,8355
"ENSG00000149527.18","PLCH2","protein_coding","chr1",2425980,2505532,"+","ENSG00000149527",2425980,79553
"ENSG00000224387.1","ENSG00000224387","lncRNA","chr1",2492300,2493258,"-","ENSG00000224387",2493258,959
"ENSG00000229393.1","ENSG00000229393","lncRNA","chr1",2493437,2494479,"-","ENSG00000229393",2494479,1043
"ENSG00000157881.16","PANK4","protein_coding","chr1",2508537,2526596,"-","ENSG00000157881",2526596,18060
"ENSG00000197921.6","HES5","protein_coding","chr1",2528745,2530263,"-","ENSG00000197921",2530263,1519
"ENSG00000272449.2","ENSG00000272449","lncRNA","chr1",2530064,2547460,"+","ENSG00000272449",2530064,17397
"ENSG00000238164.6","TNFRSF14-AS1","lncRNA","chr1",2549920,2557031,"-","ENSG00000238164",2557031,7112
"ENSG00000157873.18","TNFRSF14","protein_coding","chr1",2556697,2565382,"+","ENSG00000157873",2556697,8686
"ENSG00000225931.3","ENSG00000225931","TEC","chr1",2566410,2569888,"+","ENSG00000225931",2566410,3479
"ENSG00000228037.1","ENSG00000228037","lncRNA","chr1",2581560,2584533,"+","ENSG00000228037",2581560,2974
"ENSG00000289610.1","ENSG00000289610","lncRNA","chr1",2585612,2586060,"+","ENSG00000289610",2585612,449
"ENSG00000157870.17","PRXL2B","protein_coding","chr1",2586491,2591469,"+","ENSG00000157870",2586491,4979
"ENSG00000142606.16","MMEL1","protein_coding","chr1",2591557,2633016,"-","ENSG00000142606",2633016,41460
"ENSG00000237058.1","MMEL1-AS1","lncRNA","chr1",2632568,2632675,"+","ENSG00000237058",2632568,108
"ENSG00000215912.12","TTC34","protein_coding","chr1",2635976,2801717,"-","ENSG00000215912",2801717,165742
"ENSG00000285945.1","ENSG00000285945","lncRNA","chr1",2768091,2784733,"+","ENSG00000285945",2768091,16643
"ENSG00000283259.1","ENSG00000283259","lncRNA","chr1",2773603,2776473,"+","ENSG00000283259",2773603,2871
"ENSG00000233234.1","ENSG00000233234","lncRNA","chr1",2811850,2812692,"-","ENSG00000233234",2812692,843
"ENSG00000287396.1","ENSG00000287396","lncRNA","chr1",2814056,2817767,"+","ENSG00000287396",2814056,3712
"ENSG00000231630.1","ENSG00000231630","lncRNA","chr1",2814452,2814998,"-","ENSG00000231630",2814998,547
"ENSG00000284745.1","ENSG00000284745","lncRNA","chr1",2960658,2968707,"-","ENSG00000284745",2968707,8050
"ENSG00000169717.7","ACTRT2","protein_coding","chr1",3021467,3022903,"+","ENSG00000169717",3021467,1437
"ENSG00000177133.13","PRDM16-DT","lncRNA","chr1",3059611,3069088,"-","ENSG00000177133",3069088,9478
"ENSG00000142611.17","PRDM16","protein_coding","chr1",3069168,3438621,"+","ENSG00000142611",3069168,369454
"ENSG00000283572.1","MIR4251","miRNA","chr1",3127975,3128035,"+","ENSG00000283572",3127975,61
"ENSG00000226286.1","ENSG00000226286","lncRNA","chr1",3132927,3133709,"-","ENSG00000226286",3133709,783
"ENSG00000279839.1","ENSG00000279839","TEC","chr1",3205988,3208664,"+","ENSG00000279839",3205988,2677
"ENSG00000272235.1","ENSG00000272235","lncRNA","chr1",3306636,3310096,"-","ENSG00000272235",3310096,3461
"ENSG00000287828.1","ENSG00000287828","lncRNA","chr1",3313052,3323149,"-","ENSG00000287828",3323149,10098
"ENSG00000286518.1","ENSG00000286518","lncRNA","chr1",3367815,3373928,"-","ENSG00000286518",3373928,6114
"ENSG00000130762.15","ARHGEF16","protein_coding","chr1",3454665,3481113,"+","ENSG00000130762",3454665,26449
"ENSG00000272088.1","ENSG00000272088","lncRNA","chr1",3487246,3487627,"+","ENSG00000272088",3487246,382
"ENSG00000162591.16","MEGF6","protein_coding","chr1",3487951,3611508,"-","ENSG00000162591",3611508,123558
"ENSG00000207776.1","MIR551A","miRNA","chr1",3560695,3560790,"-","ENSG00000207776",3560790,96
"ENSG00000238260.2","ENSG00000238260","lncRNA","chr1",3622857,3624786,"-","ENSG00000238260",3624786,1930
"ENSG00000158109.15","TPRG1L","protein_coding","chr1",3625015,3630127,"+","ENSG00000158109",3625015,5113
"ENSG00000116213.16","WRAP73","protein_coding","chr1",3630767,3652761,"-","ENSG00000116213",3652761,21995
"ENSG00000078900.15","TP73","protein_coding","chr1",3652516,3735600,"+","ENSG00000078900",3652516,83085
"ENSG00000227589.1","TP73-AS3","lncRNA","chr1",3658938,3668772,"-","ENSG00000227589",3668772,9835
"ENSG00000235131.1","TP73-AS2","lncRNA","chr1",3712200,3714298,"-","ENSG00000235131",3714298,2099
"ENSG00000227372.12","TP73-AS1","transcribed_unitary_pseudogene","chr1",3736202,3747373,"-","ENSG00000227372",3747373,11172
"ENSG00000162592.10","CCDC27","protein_coding","chr1",3752445,3771645,"+","ENSG00000162592",3752445,19201
"ENSG00000235169.11","SMIM1","protein_coding","chr1",3772749,3775982,"+","ENSG00000235169",3772749,3234
"ENSG00000130764.10","LRRC47","protein_coding","chr1",3778559,3796498,"-","ENSG00000130764",3796498,17940
"ENSG00000266075.2","RN7SL574P","misc_RNA","chr1",3782815,3783111,"+","ENSG00000266075",3782815,297
"ENSG00000272153.1","ENSG00000272153","lncRNA","chr1",3785008,3785538,"+","ENSG00000272153",3785008,531
"ENSG00000116198.14","CEP104","protein_coding","chr1",3812086,3857233,"-","ENSG00000116198",3857233,45148
"ENSG00000169598.17","DFFB","protein_coding","chr1",3857267,3885429,"+","ENSG00000169598",3857267,28163
"ENSG00000198912.12","C1orf174","protein_coding","chr1",3889125,3900278,"-","ENSG00000198912",3900278,11154
"ENSG00000236423.7","LINC01134","lncRNA","chr1",3900352,3917225,"+","ENSG00000236423",3900352,16874
"ENSG00000233304.7","LINC01346","lncRNA","chr1",3940486,3955262,"+","ENSG00000233304",3940486,14777
"ENSG00000226374.3","LINC01345","lncRNA","chr1",3944547,3949024,"-","ENSG00000226374",3949024,4478
"ENSG00000284668.2","LINC02780","lncRNA","chr1",3976133,4012704,"+","ENSG00000284668",3976133,36572
"ENSG00000284703.1","ENSG00000284703","lncRNA","chr1",4012921,4019508,"-","ENSG00000284703",4019508,6588
"ENSG00000229280.1","EEF1DP6","processed_pseudogene","chr1",4175528,4175899,"-","ENSG00000229280",4175899,372
"ENSG00000235054.4","LINC01777","lncRNA","chr1",4412027,4424689,"+","ENSG00000235054",4412027,12663
"ENSG00000284694.1","ENSG00000284694","lncRNA","chr1",4479131,4484375,"-","ENSG00000284694",4484375,5245
"ENSG00000227169.2","ENSG00000227169","lncRNA","chr1",4551735,4552145,"-","ENSG00000227169",4552145,411
"ENSG00000232596.3","LINC01646","lncRNA","chr1",4571481,4594016,"+","ENSG00000232596",4571481,22536
"ENSG00000196581.11","AJAP1","protein_coding","chr1",4654609,4792534,"+","ENSG00000196581",4654609,137926
"ENSG00000287586.1","ENSG00000287586","lncRNA","chr1",4730211,4734992,"-","ENSG00000287586",4734992,4782
"ENSG00000284739.1","ENSG00000284739","lncRNA","chr1",4963954,4973298,"-","ENSG00000284739",4973298,9345
"ENSG00000284674.1","LINC02781","lncRNA","chr1",4973381,4981568,"+","ENSG00000284674",4973381,8188
"ENSG00000231510.1","LINC02782","lncRNA","chr1",5086459,5090899,"-","ENSG00000231510",5090899,4441
"ENSG00000284616.1","ENSG00000284616","lncRNA","chr1",5301928,5307394,"-","ENSG00000284616",5307394,5467
"ENSG00000284692.2","ENSG00000284692","lncRNA","chr1",5478736,5492977,"-","ENSG00000284692",5492977,14242
"ENSG00000284666.1","ENSG00000284666","lncRNA","chr1",5480787,5482028,"-","ENSG00000284666",5482028,1242
"ENSG00000260972.1","ENSG00000260972","lncRNA","chr1",5493058,5494674,"+","ENSG00000260972",5493058,1617
"ENSG00000283356.1","ENSG00000283356","unprocessed_pseudogene","chr1",5554747,5554881,"+","ENSG00000283356",5554747,135
"ENSG00000236948.2","ENSG00000236948","lncRNA","chr1",5561709,5668295,"-","ENSG00000236948",5668295,106587
"ENSG00000264341.1","ENSG00000264341","miRNA","chr1",5564071,5564143,"+","ENSG00000264341",5564071,73
"ENSG00000264101.1","MIR4689","miRNA","chr1",5862672,5862741,"-","ENSG00000264101",5862741,70
"ENSG00000131697.18","NPHP4","protein_coding","chr1",5862811,5992261,"-","ENSG00000131697",5992261,129451
"ENSG00000069424.16","KCNAB2","protein_coding","chr1",5990927,6101193,"+","ENSG00000069424",5990927,110267
"ENSG00000116254.18","CHD5","protein_coding","chr1",6101787,6180321,"-","ENSG00000116254",6180321,78535
"ENSG00000116251.11","RPL22","protein_coding","chr1",6185020,6209389,"-","ENSG00000116251",6209389,24370
"ENSG00000226944.1","RNF207-AS1","lncRNA","chr1",6204840,6205780,"-","ENSG00000226944",6205780,941
"ENSG00000158286.13","RNF207","protein_coding","chr1",6206119,6221192,"+","ENSG00000158286",6206119,15074
"ENSG00000116237.16","ICMT","protein_coding","chr1",6221300,6235972,"-","ENSG00000116237",6235972,14673
"ENSG00000225077.3","LINC00337","lncRNA","chr1",6234692,6239444,"+","ENSG00000225077",6234692,4753
"ENSG00000173673.8","HES3","protein_coding","chr1",6244179,6245578,"+","ENSG00000173673",6244179,1400
"ENSG00000158292.7","GPR153","protein_coding","chr1",6247353,6261098,"-","ENSG00000158292",6261098,13746
"ENSG00000097021.20","ACOT7","protein_coding","chr1",6264269,6393554,"-","ENSG00000097021",6393554,129286
"ENSG00000271746.1","ENSG00000271746","lncRNA","chr1",6393768,6394391,"+","ENSG00000271746",6393768,624
"ENSG00000069812.11","HES2","protein_coding","chr1",6412418,6424670,"-","ENSG00000069812",6424670,12253
"ENSG00000187017.18","ESPN","protein_coding","chr1",6424776,6460785,"+","ENSG00000187017",6424776,36010
"ENSG00000265392.1","MIR4252","miRNA","chr1",6429834,6429896,"-","ENSG00000265392",6429896,63
"ENSG00000231868.1","ENSG00000231868","lncRNA","chr1",6443034,6447006,"-","ENSG00000231868",6447006,3973
"ENSG00000215788.11","TNFRSF25","protein_coding","chr1",6460981,6466175,"-","ENSG00000215788",6466175,5195
"ENSG00000171680.23","PLEKHG5","protein_coding","chr1",6467122,6520074,"-","ENSG00000171680",6520074,52953
"ENSG00000162408.11","NOL9","protein_coding","chr1",6521347,6554513,"-","ENSG00000162408",6554513,33167
"ENSG00000253022.1","RNU6-731P","snRNA","chr1",6540854,6540964,"+","ENSG00000253022",6540854,111
