"gene","module","gene_clean","symbol","is_GenAge","symbol_gtf","gene_type","chromosome","gene_start","gene_end","strand","TSS","gene_length","ERV_position_eligible","promoter_ERV_n","promoter_ERV_any","promoter_ERV_families","nearest_ERV_distance","nearest_ERV_fragment_id","nearest_ERV_repName","nearest_ERV_family","nearest_ERV_part","nearest_ERV_start","nearest_ERV_end","nearest_ERV_strand","nearest_ERV_direction","nearest_ERV_signed_distance"
"ENSG00000178055.13","blue","ENSG00000178055","PRSS42P",FALSE,"PRSS42P","transcribed_unitary_pseudogene","chr3",46829542,46834095,"-",46834095,4554,TRUE,3,TRUE,"ERVK;ERVL",377,"chr3_46834473_46835025_ERVL-E-int","ERVL-E-int","ERVL","internal",46834473,46835025,"-","upstream",-377
"ENSG00000157087.20","blue","ENSG00000157087","ATP2B2",FALSE,"ATP2B2","protein_coding","chr3",10324023,10708007,"-",10708007,383985,TRUE,0,FALSE,NA,3782,"chr3_10703690_10704224_MER74A","MER74A","ERVL","LTR_or_other",10703690,10704224,"+","downstream",3782
"ENSG00000134240.12","yellow","ENSG00000134240","HMGCS2",FALSE,"HMGCS2","protein_coding","chr1",119748002,119768905,"-",119768905,20904,TRUE,0,FALSE,NA,2913,"chr1_119771819_119772181_MER57C1","MER57C1","ERV1","LTR_or_other",119771819,119772181,"+","upstream",-2913
"ENSG00000214970.8","yellow","ENSG00000214970","ENSG00000214970",FALSE,"ENSG00000214970","lncRNA","chr17",10579040,10623036,"+",10579040,43997,TRUE,1,TRUE,"ERVL-MaLR",36,"chr17_10578837_10579003_MLT1K","MLT1K","ERVL-MaLR","LTR_or_other",10578837,10579003,"-","upstream",-36
"ENSG00000160808.11","yellow","ENSG00000160808","MYL3",FALSE,"MYL3","protein_coding","chr3",46835111,46882172,"-",46882172,47062,TRUE,0,FALSE,NA,27040,"chr3_46854846_46855131_LTR16C","LTR16C","ERVL","LTR_or_other",46854846,46855131,"+","downstream",27040
"ENSG00000116285.13","brown","ENSG00000116285","ERRFI1",FALSE,"ERRFI1","protein_coding","chr1",8011727,8026309,"-",8026309,14583,TRUE,0,FALSE,NA,9392,"chr1_8035702_8036083_MLT2A1","MLT2A1","ERVL","LTR_or_other",8035702,8036083,"+","upstream",-9392
"ENSG00000141579.7","grey60","ENSG00000141579","ZNF750",FALSE,"ZNF750","protein_coding","chr17",82829434,82840022,"-",82840022,10589,TRUE,1,TRUE,"ERVL-MaLR",1611,"chr17_82841634_82842121_MLT1H1","MLT1H1","ERVL-MaLR","LTR_or_other",82841634,82842121,"-","upstream",-1611
"ENSG00000144644.15","blue","ENSG00000144644","GADL1",FALSE,"GADL1","protein_coding","chr3",30726197,30894661,"-",30894661,168465,TRUE,0,FALSE,NA,5211,"chr3_30899873_30899936_MLT1L","MLT1L","ERVL-MaLR","LTR_or_other",30899873,30899936,"-","upstream",-5211
"ENSG00000142178.9","grey","ENSG00000142178","SIK1",FALSE,"SIK1","protein_coding","chr21",43414483,43427131,"-",43427131,12649,TRUE,0,FALSE,NA,7933,"chr21_43435065_43435485_MLT1C","MLT1C","ERVL-MaLR","LTR_or_other",43435065,43435485,"-","upstream",-7933
"ENSG00000204460.3","yellow","ENSG00000204460","LINC01854",FALSE,"LINC01854","lncRNA","chr2",129242173,129273848,"-",129273848,31676,TRUE,1,TRUE,"ERVL",467,"chr2_129274316_129274660_MLT2F","MLT2F","ERVL","LTR_or_other",129274316,129274660,"+","upstream",-467
"ENSG00000149575.9","blue","ENSG00000149575","SCN2B",FALSE,"SCN2B","protein_coding","chr11",118162806,118176639,"-",118176639,13834,TRUE,0,FALSE,NA,13571,"chr11_118190211_118190552_THE1A","THE1A","ERVL-MaLR","LTR_or_other",118190211,118190552,"+","upstream",-13571
"ENSG00000235263.1","brown","ENSG00000235263","ENSG00000235263",FALSE,"ENSG00000235263","lncRNA","chr1",9501092,9503471,"-",9503471,2380,TRUE,0,FALSE,NA,2171,"chr1_9505643_9505983_MLT1C","MLT1C","ERVL-MaLR","LTR_or_other",9505643,9505983,"-","upstream",-2171
"ENSG00000170477.13","skyblue","ENSG00000170477","KRT4",FALSE,"KRT4","protein_coding","chr12",52806549,52814116,"-",52814116,7568,TRUE,1,TRUE,"ERVL-MaLR",1178,"chr12_52815295_52815655_THE1B","THE1B","ERVL-MaLR","LTR_or_other",52815295,52815655,"+","upstream",-1178
"ENSG00000075702.19","blue","ENSG00000075702","WDR62",FALSE,"WDR62","protein_coding","chr19",36054881,36105108,"+",36054881,50228,TRUE,2,TRUE,"ERV1",1228,"chr19_36053582_36053652_LTR65","LTR65","ERV1","LTR_or_other",36053582,36053652,"-","upstream",-1228
"ENSG00000189350.13","brown","ENSG00000189350","TOGARAM2",FALSE,"TOGARAM2","protein_coding","chr2",28956611,29052230,"+",28956611,95620,TRUE,3,TRUE,"ERVL;ERVL-MaLR",859,"chr2_28955654_28955751_MLT1O","MLT1O","ERVL-MaLR","LTR_or_other",28955654,28955751,"-","upstream",-859
"ENSG00000164879.7","blue","ENSG00000164879","CA3",FALSE,"CA3","protein_coding","chr8",85373436,85449040,"+",85373436,75605,TRUE,0,FALSE,NA,4520,"chr8_85377957_85378394_MER74C","MER74C","ERVL","LTR_or_other",85377957,85378394,"-","downstream",4520
"ENSG00000235295.2","blue","ENSG00000235295","LINC01634",FALSE,"LINC01634","lncRNA","chr22",18029385,18037970,"+",18029385,8586,TRUE,0,FALSE,NA,10946,"chr22_18040332_18040526_MLT1J","MLT1J","ERVL-MaLR","LTR_or_other",18040332,18040526,"+","downstream",10946
"ENSG00000148677.7","lightcyan","ENSG00000148677","ANKRD1",FALSE,"ANKRD1","protein_coding","chr10",90912096,90921087,"-",90921087,8992,TRUE,0,FALSE,NA,3918,"chr10_90925006_90925290_LTR82B","LTR82B","ERVL","LTR_or_other",90925006,90925290,"-","upstream",-3918
"ENSG00000286619.1","grey","ENSG00000286619","ENSG00000286619",FALSE,"ENSG00000286619","lncRNA","chr1",205813322,205896082,"+",205813322,82761,TRUE,0,FALSE,NA,4696,"chr1_205818019_205818449_LTR47A","LTR47A","ERVL","LTR_or_other",205818019,205818449,"-","downstream",4696
"ENSG00000171401.15","skyblue","ENSG00000171401","KRT13",FALSE,"KRT13","protein_coding","chr17",41500981,41505705,"-",41505705,4725,TRUE,0,FALSE,NA,2709,"chr17_41508415_41509183_MER21C","MER21C","ERVL","LTR_or_other",41508415,41509183,"+","upstream",-2709
"ENSG00000078814.18","blue","ENSG00000078814","MYH7B",FALSE,"MYH7B","protein_coding","chr20",34955868,35002403,"+",34955868,46536,TRUE,0,FALSE,NA,30295,"chr20_34925088_34925572_MLT1F","MLT1F","ERVL-MaLR","LTR_or_other",34925088,34925572,"-","upstream",-30295
"ENSG00000182177.15","blue","ENSG00000182177","ASB18",FALSE,"ASB18","protein_coding","chr2",236193459,236264409,"-",236264409,70951,TRUE,2,TRUE,"ERVL;ERVL-MaLR",839,"chr2_236265249_236265661_MLT2D","MLT2D","ERVL","LTR_or_other",236265249,236265661,"+","upstream",-839
"ENSG00000285155.1","blue","ENSG00000285155","ENSG00000285155",FALSE,"ENSG00000285155","lncRNA","chr2",160200773,160253849,"-",160253849,53077,TRUE,0,FALSE,NA,2671,"chr2_160250813_160251177_MSTD","MSTD","ERVL-MaLR","LTR_or_other",160250813,160251177,"+","downstream",2671
"ENSG00000188933.16","grey","ENSG00000188933","USP32P1",FALSE,"USP32P1","transcribed_unprocessed_pseudogene","chr17",16786489,16804455,"+",16786489,17967,TRUE,0,FALSE,NA,7753,"chr17_16778369_16778735_THE1B","THE1B","ERVL-MaLR","LTR_or_other",16778369,16778735,"+","upstream",-7753
"ENSG00000281344.1","black","ENSG00000281344","HELLPAR",FALSE,"HELLPAR","lncRNA","chr12",102197834,102402596,"+",102197834,204763,TRUE,0,FALSE,NA,5469,"chr12_102203304_102203869_MLT2F","MLT2F","ERVL","LTR_or_other",102203304,102203869,"+","downstream",5469
"ENSG00000112096.19","brown","ENSG00000112096","SOD2",TRUE,"SOD2","protein_coding","chr6",159669069,159745186,"-",159745186,76118,TRUE,0,FALSE,NA,13047,"chr6_159758234_159758351_MLT1A0","MLT1A0","ERVL-MaLR","LTR_or_other",159758234,159758351,"-","upstream",-13047
"ENSG00000185271.9","blue","ENSG00000185271","KLHL33",FALSE,"KLHL33","protein_coding","chr14",20425852,20436166,"-",20436166,10315,TRUE,0,FALSE,NA,12537,"chr14_20423213_20423628_MSTA","MSTA","ERVL-MaLR","LTR_or_other",20423213,20423628,"-","downstream",12537
"ENSG00000096060.15","brown","ENSG00000096060","FKBP5",FALSE,"FKBP5","protein_coding","chr6",35573585,35728583,"-",35728583,154999,TRUE,0,FALSE,NA,10204,"chr6_35738788_35739133_MER21C","MER21C","ERVL","LTR_or_other",35738788,35739133,"-","upstream",-10204
"ENSG00000227827.3","grey","ENSG00000227827","PKD1P2",FALSE,"PKD1P2","unprocessed_pseudogene","chr16",16356224,16377507,"+",16356224,21284,TRUE,0,FALSE,NA,15030,"chr16_16340762_16341193_LTR48","LTR48","ERV1","LTR_or_other",16340762,16341193,"-","upstream",-15030
"ENSG00000273906.1","grey","ENSG00000273906","ENSG00000273906",FALSE,"ENSG00000273906","lncRNA","chrY",6918682,6920791,"+",6918682,2110,TRUE,0,FALSE,NA,763,"chrY_6919446_6919944_LTR10B","LTR10B","ERV1","LTR_or_other",6919446,6919944,"+","downstream",763
"ENSG00000123689.6","yellow","ENSG00000123689","G0S2",FALSE,"G0S2","protein_coding","chr1",209675412,209676390,"+",209675412,979,TRUE,0,FALSE,NA,13788,"chr1_209661314_209661623_MLT1J2","MLT1J2","ERVL-MaLR","LTR_or_other",209661314,209661623,"-","upstream",-13788
"ENSG00000271959.1","turquoise","ENSG00000271959","ENSG00000271959",FALSE,"ENSG00000271959","lncRNA","chr8",141434545,141437954,"+",141434545,3410,TRUE,0,FALSE,NA,10424,"chr8_141444970_141445117_MLT1K","MLT1K","ERVL-MaLR","LTR_or_other",141444970,141445117,"+","downstream",10424
"ENSG00000235070.3","blue","ENSG00000235070","ENSG00000235070",FALSE,"ENSG00000235070","lncRNA","chr2",226180044,226185371,"-",226185371,5328,TRUE,0,FALSE,NA,5435,"chr2_226179271_226179935_LTR78","LTR78","ERV1","LTR_or_other",226179271,226179935,"+","downstream",5435
"ENSG00000185847.9","yellow","ENSG00000185847","LINC01405",FALSE,"LINC01405","lncRNA","chr12",110934590,110959093,"+",110934590,24504,TRUE,2,TRUE,"ERV1;ERVL-MaLR",250,"chr12_110934841_110935082_MLT1L","MLT1L","ERVL-MaLR","LTR_or_other",110934841,110935082,"-","downstream",250
"ENSG00000156802.13","brown","ENSG00000156802","ATAD2",FALSE,"ATAD2","protein_coding","chr8",123319850,123416350,"-",123416350,96501,TRUE,0,FALSE,NA,985,"chr8_123415261_123415364_LTR41B","LTR41B","ERVL","LTR_or_other",123415261,123415364,"-","downstream",985
"ENSG00000223784.2","blue","ENSG00000223784","LINP1",FALSE,"LINP1","lncRNA","chr10",6709530,6740532,"+",6709530,31003,TRUE,0,FALSE,NA,8591,"chr10_6718122_6718752_LTR65","LTR65","ERV1","LTR_or_other",6718122,6718752,"-","downstream",8591
"ENSG00000204983.15","white","ENSG00000204983","PRSS1",FALSE,"PRSS1","protein_coding","chr7",142749468,142753072,"+",142749468,3605,TRUE,0,FALSE,NA,6657,"chr7_142742682_142742810_ERVL-B4-int","ERVL-B4-int","ERVL","internal",142742682,142742810,"+","upstream",-6657
"ENSG00000279668.3","yellow","ENSG00000279668","ENSG00000279668",FALSE,"ENSG00000279668","lncRNA","chr17",33827699,34079100,"-",34079100,251402,TRUE,0,FALSE,NA,18306,"chr17_34097407_34097621_MLT1C","MLT1C","ERVL-MaLR","LTR_or_other",34097407,34097621,"+","upstream",-18306
"ENSG00000226074.5","blue","ENSG00000226074","PRSS44P",FALSE,"PRSS44P","transcribed_unitary_pseudogene","chr3",46809359,46812486,"-",46812486,3128,TRUE,1,TRUE,"ERVL",847,"chr3_46813334_46815678_HERVL-int","HERVL-int","ERVL","internal",46813334,46815678,"-","upstream",-847
"ENSG00000275896.7","white","ENSG00000275896","PRSS2",FALSE,"PRSS2","protein_coding","chr7",142760398,142774564,"+",142760398,14167,TRUE,0,FALSE,NA,17587,"chr7_142742682_142742810_ERVL-B4-int","ERVL-B4-int","ERVL","internal",142742682,142742810,"+","upstream",-17587
"ENSG00000129173.13","blue","ENSG00000129173","E2F8",FALSE,"E2F8","protein_coding","chr11",19224063,19241620,"-",19241620,17558,TRUE,0,FALSE,NA,12875,"chr11_19254496_19254866_THE1B","THE1B","ERVL-MaLR","LTR_or_other",19254496,19254866,"-","upstream",-12875
"ENSG00000286651.2","blue","ENSG00000286651","PRSS43P",FALSE,"PRSS43P","transcribed_unitary_pseudogene","chr3",46753045,46756857,"-",46756857,3813,TRUE,2,TRUE,"ERVL-MaLR",119,"chr3_46756977_46757094_MLT1E3","MLT1E3","ERVL-MaLR","LTR_or_other",46756977,46757094,"+","upstream",-119
"ENSG00000204099.12","grey60","ENSG00000204099","NEU4",FALSE,"NEU4","protein_coding","chr2",241809807,241817413,"+",241809807,7607,TRUE,1,TRUE,"ERV1",943,"chr2_241808249_241808863_PABL_A","PABL_A","ERV1","LTR_or_other",241808249,241808863,"-","upstream",-943
"ENSG00000283709.1","blue","ENSG00000283709","FAM238C",FALSE,"FAM238C","transcribed_unprocessed_pseudogene","chr10",26931206,26944418,"-",26944418,13213,TRUE,0,FALSE,NA,5626,"chr10_26950045_26950077_MSTB","MSTB","ERVL-MaLR","LTR_or_other",26950045,26950077,"+","upstream",-5626
"ENSG00000129988.6","lightcyan","ENSG00000129988","LBP",FALSE,"LBP","protein_coding","chr20",38346482,38377013,"+",38346482,30532,TRUE,2,TRUE,"ERVL;ERVL-MaLR",355,"chr20_38346838_38347049_LTR16C","LTR16C","ERVL","LTR_or_other",38346838,38347049,"-","downstream",355
"ENSG00000143127.13","brown","ENSG00000143127","ITGA10",FALSE,"ITGA10","protein_coding","chr1",145891208,145910090,"-",145910090,18883,TRUE,0,FALSE,NA,21557,"chr1_145887837_145888532_LTR66","LTR66","ERVL","LTR_or_other",145887837,145888532,"+","downstream",21557
"ENSG00000171885.18","yellow","ENSG00000171885","AQP4",FALSE,"AQP4","protein_coding","chr18",26852043,26865771,"-",26865771,13729,TRUE,0,FALSE,NA,4943,"chr18_26870715_26871117_MSTB1","MSTB1","ERVL-MaLR","LTR_or_other",26870715,26871117,"+","upstream",-4943
"ENSG00000166741.8","black","ENSG00000166741","NNMT",FALSE,"NNMT","protein_coding","chr11",114257787,114313536,"+",114257787,55750,TRUE,0,FALSE,NA,5458,"chr11_114263246_114263854_LTR36","LTR36","ERV1","LTR_or_other",114263246,114263854,"+","downstream",5458
"ENSG00000185105.5","blue","ENSG00000185105","MYADML2",FALSE,"MYADML2","protein_coding","chr17",81939645,81947137,"-",81947137,7493,TRUE,2,TRUE,"ERVL",74,"chr17_81947212_81947354_MER21B","MER21B","ERVL","LTR_or_other",81947212,81947354,"+","upstream",-74
"ENSG00000105664.11","darkgrey","ENSG00000105664","COMP",FALSE,"COMP","protein_coding","chr19",18782773,18791305,"-",18791305,8533,TRUE,0,FALSE,NA,11139,"chr19_18802445_18802651_MLT1K","MLT1K","ERVL-MaLR","LTR_or_other",18802445,18802651,"-","upstream",-11139
"ENSG00000170160.18","grey","ENSG00000170160","CCDC144A",FALSE,"CCDC144A","protein_coding","chr17",16689537,16777881,"+",16689537,88345,TRUE,1,TRUE,"ERV1",492,"chr17_16688803_16689044_LOR1b","LOR1b","ERV1","LTR_or_other",16688803,16689044,"+","upstream",-492
"ENSG00000188037.14","blue","ENSG00000188037","CLCN1",FALSE,"CLCN1","protein_coding","chr7",143316111,143352083,"+",143316111,35973,TRUE,0,FALSE,NA,2411,"chr7_143313381_143313699_LTR3B_","LTR3B_","ERVK","LTR_or_other",143313381,143313699,"-","upstream",-2411
"ENSG00000164434.12","tan","ENSG00000164434","FABP7",FALSE,"FABP7","protein_coding","chr6",122779716,122784074,"+",122779716,4359,TRUE,1,TRUE,"ERV1",1499,"chr6_122777877_122778216_MER4D","MER4D","ERV1","LTR_or_other",122777877,122778216,"+","upstream",-1499
"ENSG00000270765.7","yellow","ENSG00000270765","GAS2L2",FALSE,"GAS2L2","protein_coding","chr17",35744511,35753239,"-",35753239,8729,TRUE,0,FALSE,NA,2949,"chr17_35756189_35756388_MLT1J2","MLT1J2","ERVL-MaLR","LTR_or_other",35756189,35756388,"-","upstream",-2949
"ENSG00000226094.1","blue","ENSG00000226094","RPL7P3",FALSE,"RPL7P3","processed_pseudogene","chr20",62572671,62573384,"+",62572671,714,TRUE,0,FALSE,NA,1492,"chr20_62574164_62574300_MLT1K","MLT1K","ERVL-MaLR","LTR_or_other",62574164,62574300,"-","downstream",1492
"ENSG00000181016.9","blue","ENSG00000181016","LSMEM1",FALSE,"LSMEM1","protein_coding","chr7",112481018,112491062,"+",112481018,10045,TRUE,0,FALSE,NA,21109,"chr7_112459854_112459908_MLT1J2","MLT1J2","ERVL-MaLR","LTR_or_other",112459854,112459908,"-","upstream",-21109
"ENSG00000048052.24","blue","ENSG00000048052","HDAC9",FALSE,"HDAC9","protein_coding","chr7",18086949,19002416,"+",18086949,915468,TRUE,1,TRUE,"ERVL",1554,"chr7_18084980_18085394_LTR82A","LTR82A","ERVL","LTR_or_other",18084980,18085394,"-","upstream",-1554
"ENSG00000285774.4","blue","ENSG00000285774","ENSG00000285774",FALSE,"ENSG00000285774","lncRNA","chr14",54684026,54729307,"-",54729307,45282,TRUE,0,FALSE,NA,23297,"chr14_54752605_54753622_LTR5A","LTR5A","ERVK","LTR_or_other",54752605,54753622,"-","upstream",-23297
"ENSG00000188257.12","green","ENSG00000188257","PLA2G2A",FALSE,"PLA2G2A","protein_coding","chr1",19975431,19980416,"-",19980416,4986,TRUE,3,TRUE,"ERV1;ERVL-MaLR",416,"chr1_19980833_19980917_MLT1I","MLT1I","ERVL-MaLR","LTR_or_other",19980833,19980917,"+","upstream",-416
"ENSG00000149926.14","yellow","ENSG00000149926","TLCD3B",FALSE,"TLCD3B","protein_coding","chr16",30024705,30052978,"-",30052978,28274,TRUE,0,FALSE,NA,43897,"chr16_30096876_30097207_LTR10B2","LTR10B2","ERV1","LTR_or_other",30096876,30097207,"+","upstream",-43897
"ENSG00000234438.5","blue","ENSG00000234438","KBTBD13",FALSE,"KBTBD13","protein_coding","chr15",65076746,65079948,"+",65076746,3203,TRUE,1,TRUE,"ERV1",157,"chr15_65074842_65076588_LTR12C","LTR12C","ERV1","LTR_or_other",65074842,65076588,"+","upstream",-157
"ENSG00000224614.2","brown","ENSG00000224614","TNK2-AS1",FALSE,"TNK2-AS1","lncRNA","chr3",195908076,195913986,"+",195908076,5911,TRUE,0,FALSE,NA,15826,"chr3_195923903_195924193_MLT1I","MLT1I","ERVL-MaLR","LTR_or_other",195923903,195924193,"+","downstream",15826
"ENSG00000115112.8","brown","ENSG00000115112","TFCP2L1",FALSE,"TFCP2L1","protein_coding","chr2",121216587,121285202,"-",121285202,68616,TRUE,1,TRUE,"ERVL",1571,"chr2_121286774_121287119_LTR16A","LTR16A","ERVL","LTR_or_other",121286774,121287119,"+","upstream",-1571
