"epigenome","tissue","erv_fragment_id","chromosome","repeat_start","repeat_end","repeat_length","erv_strand","repName","repFamily","repeat_part","percent_divergence","enhancer_start","enhancer_end","enhancer_state"
"E100","Psoas muscle","chr1_10973588_10974728_MER52C","chr1",10973588,10974728,1141,"+","MER52C","ERV1","LTR_or_other",12,10974344,10976543,"EnhA2"
"E100","Psoas muscle","chr1_10974729_10974923_MER77","chr1",10974729,10974923,195,"+","MER77","ERVL","LTR_or_other",24.5,10974344,10976543,"EnhA2"
"E100","Psoas muscle","chr1_11732645_11732829_MER39","chr1",11732645,11732829,185,"+","MER39","ERV1","LTR_or_other",17.4,11732344,11733343,"EnhA2"
"E100","Psoas muscle","chr1_11733124_11733550_MER39","chr1",11733124,11733550,427,"+","MER39","ERV1","LTR_or_other",17.4,11732344,11733343,"EnhA2"
"E100","Psoas muscle","chr1_11735362_11735702_MER31B","chr1",11735362,11735702,341,"+","MER31B","ERV1","LTR_or_other",15.2,11735544,11735943,"EnhA2"
"E100","Psoas muscle","chr1_11871893_11872145_LTR50","chr1",11871893,11872145,253,"+","LTR50","ERVL","LTR_or_other",19.4,11872144,11873943,"EnhA2"
"E100","Psoas muscle","chr1_11872539_11872995_MLT1C","chr1",11872539,11872995,457,"-","MLT1C","ERVL-MaLR","LTR_or_other",26.2,11872144,11873943,"EnhA2"
"E100","Psoas muscle","chr1_11874648_11875081_MLT1C","chr1",11874648,11875081,434,"+","MLT1C","ERVL-MaLR","LTR_or_other",22.8,11873944,11875543,"EnhA1"
"E100","Psoas muscle","chr1_11875262_11875651_MLT1G1","chr1",11875262,11875651,390,"+","MLT1G1","ERVL-MaLR","LTR_or_other",23.5,11873944,11875543,"EnhA1"
"E100","Psoas muscle","chr1_11881859_11882365_MLT1D","chr1",11881859,11882365,507,"+","MLT1D","ERVL-MaLR","LTR_or_other",20.9,11880544,11882943,"EnhA2"
"E100","Psoas muscle","chr1_11910769_11911307_MLT2B3","chr1",11910769,11911307,539,"-","MLT2B3","ERVL","LTR_or_other",23.5,11910344,11911143,"EnhA2"
"E100","Psoas muscle","chr1_11952832_11953060_MLT1A0","chr1",11952832,11953060,229,"-","MLT1A0","ERVL-MaLR","LTR_or_other",21.1,11952144,11953343,"EnhA2"
"E100","Psoas muscle","chr1_11984496_11985279_MER21A","chr1",11984496,11985279,784,"+","MER21A","ERVL","LTR_or_other",16.3,11981544,11985143,"EnhG1"
"E100","Psoas muscle","chr1_11984496_11985279_MER21A","chr1",11984496,11985279,784,"+","MER21A","ERVL","LTR_or_other",16.3,11985144,11989943,"EnhA2"
"E100","Psoas muscle","chr1_12187704_12187906_LTR16A1","chr1",12187704,12187906,203,"-","LTR16A1","ERVL","LTR_or_other",18.9,12187544,12187743,"EnhA2"
"E100","Psoas muscle","chr1_12245978_12246332_MER67B","chr1",12245978,12246332,355,"-","MER67B","ERV1","LTR_or_other",16.4,12244344,12246943,"EnhG1"
"E100","Psoas muscle","chr1_12246564_12246848_MER67B","chr1",12246564,12246848,285,"-","MER67B","ERV1","LTR_or_other",24.6,12244344,12246943,"EnhG1"
"E100","Psoas muscle","chr1_12381476_12381885_MER57A1","chr1",12381476,12381885,410,"+","MER57A1","ERV1","LTR_or_other",9.5,12380547,12381546,"EnhA2"
"E100","Psoas muscle","chr1_12539922_12539985_MLT1H1","chr1",12539922,12539985,64,"+","MLT1H1","ERVL-MaLR","LTR_or_other",23.5,12539775,12540574,"EnhA2"
"E100","Psoas muscle","chr1_12553939_12554471_MLT1K","chr1",12553939,12554471,533,"+","MLT1K","ERVL-MaLR","LTR_or_other",30.1,12553771,12557970,"EnhA2"
"E100","Psoas muscle","chr1_12592244_12592705_MLT1C","chr1",12592244,12592705,462,"+","MLT1C","ERVL-MaLR","LTR_or_other",28.1,12590788,12593187,"EnhA1"
"E100","Psoas muscle","chr1_12601149_12601472_MLT1K","chr1",12601149,12601472,324,"+","MLT1K","ERVL-MaLR","LTR_or_other",34,12600189,12601388,"EnhA1"
"E100","Psoas muscle","chr1_12634148_12634417_MLT1C","chr1",12634148,12634417,270,"+","MLT1C","ERVL-MaLR","LTR_or_other",24.8,12634196,12636995,"EnhA2"
"E100","Psoas muscle","chr1_12634418_12634514_LTR9D","chr1",12634418,12634514,97,"+","LTR9D","ERV1","LTR_or_other",10.8,12634196,12636995,"EnhA2"
"E100","Psoas muscle","chr1_12634793_12635313_LTR9D","chr1",12634793,12635313,521,"+","LTR9D","ERV1","LTR_or_other",10.8,12634196,12636995,"EnhA2"
"E100","Psoas muscle","chr1_12635314_12635465_MLT1C","chr1",12635314,12635465,152,"+","MLT1C","ERVL-MaLR","LTR_or_other",24.9,12634196,12636995,"EnhA2"
"E100","Psoas muscle","chr1_12668213_12668785_MLT1E1A","chr1",12668213,12668785,573,"-","MLT1E1A","ERVL-MaLR","LTR_or_other",23.1,12668590,12670189,"EnhA2"
"E100","Psoas muscle","chr1_12669040_12669087_LTR41C","chr1",12669040,12669087,48,"-","LTR41C","ERVL","LTR_or_other",20.8,12668590,12670189,"EnhA2"
"E100","Psoas muscle","chr1_12669213_12670382_ERVL-E-int","chr1",12669213,12670382,1170,"+","ERVL-E-int","ERVL","internal",30.8,12668590,12670189,"EnhA2"
"E100","Psoas muscle","chr1_12669213_12670382_ERVL-E-int","chr1",12669213,12670382,1170,"+","ERVL-E-int","ERVL","internal",30.8,12670190,12670789,"EnhA1"
"E100","Psoas muscle","chr1_12671131_12671247_MER68-int","chr1",12671131,12671247,117,"+","MER68-int","ERVL","internal",25.6,12670790,12671189,"EnhA2"
"E100","Psoas muscle","chr1_12677497_12677768_MLT1F2","chr1",12677497,12677768,272,"-","MLT1F2","ERVL-MaLR","LTR_or_other",24.5,12677390,12678189,"EnhA2"
"E100","Psoas muscle","chr1_12677809_12677940_MER70C","chr1",12677809,12677940,132,"-","MER70C","ERVL","LTR_or_other",18,12677390,12678189,"EnhA2"
"E100","Psoas muscle","chr1_12678323_12678669_MER70C","chr1",12678323,12678669,347,"-","MER70C","ERVL","LTR_or_other",18,12678190,12678589,"EnhA1"
"E100","Psoas muscle","chr1_12678323_12678669_MER70C","chr1",12678323,12678669,347,"-","MER70C","ERVL","LTR_or_other",18,12678590,12678789,"EnhA2"
"E100","Psoas muscle","chr1_12678670_12678849_MLT1F2","chr1",12678670,12678849,180,"-","MLT1F2","ERVL-MaLR","LTR_or_other",12.4,12678590,12678789,"EnhA2"
"E100","Psoas muscle","chr1_12692163_12692789_LTR102_Mam","chr1",12692163,12692789,627,"-","LTR102_Mam","ERVL","LTR_or_other",23.8,12692385,12692784,"EnhA1"
"E100","Psoas muscle","chr1_12692163_12692789_LTR102_Mam","chr1",12692163,12692789,627,"-","LTR102_Mam","ERVL","LTR_or_other",23.8,12692785,12693384,"EnhA2"
"E100","Psoas muscle","chr1_12693494_12693793_MSTA","chr1",12693494,12693793,300,"+","MSTA","ERVL-MaLR","LTR_or_other",14.1,12693385,12693784,"EnhA1"
"E100","Psoas muscle","chr1_13480516_13480863_THE1B","chr1",13480516,13480863,348,"+","THE1B","ERVL-MaLR","LTR_or_other",11.9,13479533,13481730,"EnhA2"
"E100","Psoas muscle","chr1_13480968_13481122_MLT1B","chr1",13480968,13481122,155,"+","MLT1B","ERVL-MaLR","LTR_or_other",22.7,13479533,13481730,"EnhA2"
"E100","Psoas muscle","chr1_13481698_13481762_MLT1B","chr1",13481698,13481762,65,"+","MLT1B","ERVL-MaLR","LTR_or_other",19.7,13479533,13481730,"EnhA2"
"E100","Psoas muscle","chr1_13481827_13482012_MLT1B","chr1",13481827,13482012,186,"+","MLT1B","ERVL-MaLR","LTR_or_other",19.4,13481947,13484546,"EnhA2"
"E100","Psoas muscle","chr1_13483884_13483916_MLT2B4","chr1",13483884,13483916,33,"-","MLT2B4","ERVL","LTR_or_other",9.1,13481947,13484546,"EnhA2"
"E100","Psoas muscle","chr1_13484453_13484588_LTR79","chr1",13484453,13484588,136,"-","LTR79","ERVL","LTR_or_other",33.3,13481947,13484546,"EnhA2"
"E100","Psoas muscle","chr1_13485763_13485936_MLT1C","chr1",13485763,13485936,174,"-","MLT1C","ERVL-MaLR","LTR_or_other",23.1,13485347,13493348,"EnhA2"
"E100","Psoas muscle","chr1_13486179_13486463_MLT1C","chr1",13486179,13486463,285,"-","MLT1C","ERVL-MaLR","LTR_or_other",20.7,13485347,13493348,"EnhA2"
"E100","Psoas muscle","chr1_13487098_13487227_MLT1N2","chr1",13487098,13487227,130,"+","MLT1N2","ERVL-MaLR","LTR_or_other",29.2,13485347,13493348,"EnhA2"
"E100","Psoas muscle","chr1_13493468_13493782_MLT1D","chr1",13493468,13493782,315,"+","MLT1D","ERVL-MaLR","LTR_or_other",19.7,13493349,13493748,"EnhA1"
"E100","Psoas muscle","chr1_13493468_13493782_MLT1D","chr1",13493468,13493782,315,"+","MLT1D","ERVL-MaLR","LTR_or_other",19.7,13493749,13494548,"EnhA2"
"E100","Psoas muscle","chr1_13494076_13494180_MLT1D","chr1",13494076,13494180,105,"+","MLT1D","ERVL-MaLR","LTR_or_other",19.7,13493749,13494548,"EnhA2"
"E100","Psoas muscle","chr1_13535738_13535946_MER31A","chr1",13535738,13535946,209,"+","MER31A","ERV1","LTR_or_other",23.4,13535706,13536105,"EnhA1"
"E100","Psoas muscle","chr1_13600686_13600932_MER31B","chr1",13600686,13600932,247,"-","MER31B","ERV1","LTR_or_other",21.1,13600706,13601505,"EnhA1"
"E100","Psoas muscle","chr1_15596411_15596873_MER21C","chr1",15596411,15596873,463,"+","MER21C","ERVL","LTR_or_other",20.6,15596706,15597105,"EnhA1"
"E100","Psoas muscle","chr1_15596874_15597218_MSTB1","chr1",15596874,15597218,345,"+","MSTB1","ERVL-MaLR","LTR_or_other",20.9,15596706,15597105,"EnhA1"
"E100","Psoas muscle","chr1_15596874_15597218_MSTB1","chr1",15596874,15597218,345,"+","MSTB1","ERVL-MaLR","LTR_or_other",20.9,15597106,15597505,"EnhA2"
"E100","Psoas muscle","chr1_15952815_15952969_MLT1H","chr1",15952815,15952969,155,"+","MLT1H","ERVL-MaLR","LTR_or_other",31.2,15952706,15952905,"EnhA1"
"E100","Psoas muscle","chr1_16513455_16513604_LTR75","chr1",16513455,16513604,150,"-","LTR75","ERVL","LTR_or_other",22.3,16513106,16513705,"EnhA1"
"E100","Psoas muscle","chr1_16903379_16903562_LTR39-int","chr1",16903379,16903562,184,"+","LTR39-int","ERV1","internal",35.5,16903106,16903705,"EnhA2"
"E100","Psoas muscle","chr1_16903668_16904000_LTR23-int","chr1",16903668,16904000,333,"+","LTR23-int","ERV1","internal",29.9,16903106,16903705,"EnhA2"
"E100","Psoas muscle","chr1_16905464_16905857_LTR4","chr1",16905464,16905857,394,"+","LTR4","ERV1","LTR_or_other",19.8,16905306,16907105,"EnhA2"
"E100","Psoas muscle","chr1_16906659_16906798_LTR75B","chr1",16906659,16906798,140,"+","LTR75B","ERVL","LTR_or_other",29.2,16905306,16907105,"EnhA2"
"E100","Psoas muscle","chr1_17106308_17106433_MLT1B","chr1",17106308,17106433,126,"+","MLT1B","ERVL-MaLR","LTR_or_other",21.7,17105706,17108105,"EnhA2"
"E100","Psoas muscle","chr1_17106733_17107017_MLT1B","chr1",17106733,17107017,285,"+","MLT1B","ERVL-MaLR","LTR_or_other",24,17105706,17108105,"EnhA2"
"E100","Psoas muscle","chr1_17564997_17565319_MLT1A0","chr1",17564997,17565319,323,"-","MLT1A0","ERVL-MaLR","LTR_or_other",18.9,17564706,17565305,"EnhA2"
"E100","Psoas muscle","chr1_17564997_17565319_MLT1A0","chr1",17564997,17565319,323,"-","MLT1A0","ERVL-MaLR","LTR_or_other",18.9,17565306,17565705,"EnhA1"
"E100","Psoas muscle","chr1_17622523_17622634_LTR79","chr1",17622523,17622634,112,"-","LTR79","ERVL","LTR_or_other",25.5,17621106,17622705,"EnhA2"
"E100","Psoas muscle","chr1_19370265_19370782_MER68","chr1",19370265,19370782,518,"-","MER68","ERVL","LTR_or_other",24,19369907,19370306,"EnhA2"
"E100","Psoas muscle","chr1_19426346_19426596_MLT1G1","chr1",19426346,19426596,251,"+","MLT1G1","ERVL-MaLR","LTR_or_other",26.4,19426507,19426706,"EnhA1"
"E100","Psoas muscle","chr1_19426667_19426868_MLT1G1","chr1",19426667,19426868,202,"+","MLT1G1","ERVL-MaLR","LTR_or_other",21.9,19426507,19426706,"EnhA1"
"E100","Psoas muscle","chr1_19465151_19465496_MLT1A0","chr1",19465151,19465496,346,"+","MLT1A0","ERVL-MaLR","LTR_or_other",21.1,19464907,19465706,"EnhA2"
"E100","Psoas muscle","chr1_20666905_20667068_MLT1K","chr1",20666905,20667068,164,"+","MLT1K","ERVL-MaLR","LTR_or_other",29.9,20665908,20667307,"EnhA2"
"E100","Psoas muscle","chr1_20964619_20965222_MER73","chr1",20964619,20965222,604,"+","MER73","ERVL","LTR_or_other",16.6,20964708,20965107,"EnhA1"
"E100","Psoas muscle","chr1_20964619_20965222_MER73","chr1",20964619,20965222,604,"+","MER73","ERVL","LTR_or_other",16.6,20965108,20965307,"EnhA2"
"E100","Psoas muscle","chr1_21764731_21765018_MER21B","chr1",21764731,21765018,288,"-","MER21B","ERVL","LTR_or_other",21.2,21763908,21764907,"EnhA1"
"E100","Psoas muscle","chr1_21764731_21765018_MER21B","chr1",21764731,21765018,288,"-","MER21B","ERVL","LTR_or_other",21.2,21764908,21765507,"EnhA2"
"E100","Psoas muscle","chr1_21858681_21859013_LTR16C","chr1",21858681,21859013,333,"+","LTR16C","ERVL","LTR_or_other",26.1,21858308,21858907,"EnhA2"
"E100","Psoas muscle","chr1_22067164_22067317_MLT1A0","chr1",22067164,22067317,154,"-","MLT1A0","ERVL-MaLR","LTR_or_other",18.7,22067308,22068107,"EnhA1"
"E100","Psoas muscle","chr1_22067641_22067845_MLT1A0","chr1",22067641,22067845,205,"-","MLT1A0","ERVL-MaLR","LTR_or_other",18.7,22067308,22068107,"EnhA1"
"E100","Psoas muscle","chr1_22074725_22075231_LTR54","chr1",22074725,22075231,507,"-","LTR54","ERV1","LTR_or_other",18.1,22073908,22074907,"EnhG1"
"E100","Psoas muscle","chr1_23427780_23427924_LTR16E1","chr1",23427780,23427924,145,"+","LTR16E1","ERVL","LTR_or_other",31.6,23427908,23428907,"EnhA2"
"E100","Psoas muscle","chr1_23428087_23428164_LTR16E1","chr1",23428087,23428164,78,"+","LTR16E1","ERVL","LTR_or_other",19.2,23427908,23428907,"EnhA2"
"E100","Psoas muscle","chr1_23475018_23475487_MLT1N2","chr1",23475018,23475487,470,"+","MLT1N2","ERVL-MaLR","LTR_or_other",26.2,23474708,23475507,"EnhA1"
"E100","Psoas muscle","chr1_23478933_23479095_MLT1O","chr1",23478933,23479095,163,"+","MLT1O","ERVL-MaLR","LTR_or_other",28.3,23478908,23479307,"EnhA1"
"E100","Psoas muscle","chr1_23580334_23580620_MLT1C","chr1",23580334,23580620,287,"+","MLT1C","ERVL-MaLR","LTR_or_other",22.9,23580511,23581710,"EnhA2"
"E100","Psoas muscle","chr1_23587843_23588275_LTR33","chr1",23587843,23588275,433,"-","LTR33","ERVL","LTR_or_other",26.9,23587711,23587910,"EnhA2"
"E100","Psoas muscle","chr1_23719378_23719789_MLT1D","chr1",23719378,23719789,412,"-","MLT1D","ERVL-MaLR","LTR_or_other",16.9,23719111,23719510,"EnhA1"
"E100","Psoas muscle","chr1_23920659_23920924_MER31B","chr1",23920659,23920924,266,"+","MER31B","ERV1","LTR_or_other",16.2,23919911,23921110,"EnhA2"
"E100","Psoas muscle","chr1_23920924_23921139_LTR54","chr1",23920924,23921139,216,"+","LTR54","ERV1","LTR_or_other",17.2,23919911,23921110,"EnhA2"
"E100","Psoas muscle","chr1_24019939_24020064_MER34A1","chr1",24019939,24020064,126,"-","MER34A1","ERV1","LTR_or_other",16.1,24017711,24022510,"EnhA2"
"E100","Psoas muscle","chr1_24020153_24020412_MLT1H","chr1",24020153,24020412,260,"-","MLT1H","ERVL-MaLR","LTR_or_other",21.3,24017711,24022510,"EnhA2"
"E100","Psoas muscle","chr1_24022185_24022653_MER67B","chr1",24022185,24022653,469,"+","MER67B","ERV1","LTR_or_other",17.9,24017711,24022510,"EnhA2"
"E100","Psoas muscle","chr1_24022185_24022653_MER67B","chr1",24022185,24022653,469,"+","MER67B","ERV1","LTR_or_other",17.9,24022511,24023110,"EnhA1"
"E100","Psoas muscle","chr1_24022682_24022813_MER67B","chr1",24022682,24022813,132,"+","MER67B","ERV1","LTR_or_other",17.9,24022511,24023110,"EnhA1"
"E100","Psoas muscle","chr1_24101012_24101110_MLT1J","chr1",24101012,24101110,99,"+","MLT1J","ERVL-MaLR","LTR_or_other",30.3,24092911,24102910,"EnhA2"
"E100","Psoas muscle","chr1_24101269_24101337_MLT1J","chr1",24101269,24101337,69,"+","MLT1J","ERVL-MaLR","LTR_or_other",26.1,24092911,24102910,"EnhA2"
"E100","Psoas muscle","chr1_24103483_24103963_LTR15","chr1",24103483,24103963,481,"+","LTR15","ERV1","LTR_or_other",10.2,24102911,24103510,"EnhA1"
"E100","Psoas muscle","chr1_24103483_24103963_LTR15","chr1",24103483,24103963,481,"+","LTR15","ERV1","LTR_or_other",10.2,24103511,24103710,"EnhA2"
"E100","Psoas muscle","chr1_24392383_24392792_LTR52","chr1",24392383,24392792,410,"+","LTR52","ERVL","LTR_or_other",17.4,24391911,24392510,"EnhA2"
"E100","Psoas muscle","chr1_24704519_24704625_MLT1O","chr1",24704519,24704625,107,"-","MLT1O","ERVL-MaLR","LTR_or_other",30.5,24704510,24705309,"EnhA2"
"E100","Psoas muscle","chr1_25230594_25230819_MER90a","chr1",25230594,25230819,226,"-","MER90a","ERV1","LTR_or_other",24,25230510,25230909,"EnhG1"
"E100","Psoas muscle","chr1_25235115_25235273_MER4A","chr1",25235115,25235273,159,"+","MER4A","ERV1","LTR_or_other",10.2,25233710,25235909,"EnhA2"
"E100","Psoas muscle","chr1_25237234_25237723_MLT1G3","chr1",25237234,25237723,490,"-","MLT1G3","ERVL-MaLR","LTR_or_other",22.7,25236710,25239709,"EnhA2"
"E100","Psoas muscle","chr1_25237832_25238090_LTR33","chr1",25237832,25238090,259,"+","LTR33","ERVL","LTR_or_other",27.5,25236710,25239709,"EnhA2"
"E100","Psoas muscle","chr1_25238282_25238453_LTR33","chr1",25238282,25238453,172,"+","LTR33","ERVL","LTR_or_other",27.5,25236710,25239709,"EnhA2"
"E100","Psoas muscle","chr1_25818459_25818747_LTR16A1","chr1",25818459,25818747,289,"-","LTR16A1","ERVL","LTR_or_other",24.7,25817910,25819109,"EnhA2"
"E100","Psoas muscle","chr1_26049855_26050127_LTR16D1","chr1",26049855,26050127,273,"+","LTR16D1","ERVL","LTR_or_other",33.1,26049510,26063309,"EnhA2"
"E100","Psoas muscle","chr1_26050119_26050664_MER39B","chr1",26050119,26050664,546,"+","MER39B","ERV1","LTR_or_other",11.8,26049510,26063309,"EnhA2"
"E100","Psoas muscle","chr1_26050971_26051020_MER39B","chr1",26050971,26051020,50,"+","MER39B","ERV1","LTR_or_other",11.8,26049510,26063309,"EnhA2"
"E100","Psoas muscle","chr1_26051060_26051112_LTR16D1","chr1",26051060,26051112,53,"+","LTR16D1","ERVL","LTR_or_other",20.8,26049510,26063309,"EnhA2"
"E100","Psoas muscle","chr1_26076729_26076890_MLT1F","chr1",26076729,26076890,162,"-","MLT1F","ERVL-MaLR","LTR_or_other",18.1,26076710,26079109,"EnhA2"
