"priority_rank","gene","symbol","module","rank_in_module","MM","GS_AGE","is_GenAge","chromosome","gene_strand","TSS","window_start","window_end","erv_fragment_id","repeat_start","repeat_end","erv_strand","repName","repFamily","repeat_part","percent_divergence","epigenome_support_n","supporting_epigenomes","supported_in_E100","supported_in_E108","consensus_support","enhancer_states","TSS_distance","TSS_direction","signed_TSS_distance","same_strand","proximity_group","is_promoter_ERV_pair","promoter_main_context","overlaps_TSS","overlaps_first_exon","overlaps_other_exon","overlaps_intron","candidate_group","candidate_group_rank"
11,"ENSG00000196182.11","STK40","red",2,0.849018504913765,-0.347471820845285,FALSE,"chr1","-",36385924,36285924,36485924,"chr1_36398348_36398373_LTR54",36398348,36398373,"+","LTR54","ERV1","LTR_or_other",14.2,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1;EnhA2",12424,"upstream",-12424,FALSE,"10_to_50kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
12,"ENSG00000159461.15","AMFR","red",6,0.822654727713528,-0.338535050639144,FALSE,"chr16","-",56425545,56325545,56525545,"chr16_56479592_56480032_MLT2F",56479592,56480032,"+","MLT2F","ERVL","LTR_or_other",19.6,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA2;EnhG1",54047,"upstream",-54047,FALSE,"50_to_100kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
13,"ENSG00000159461.15","AMFR","red",6,0.822654727713528,-0.338535050639144,FALSE,"chr16","-",56425545,56325545,56525545,"chr16_56482777_56482970_MLT1J1",56482777,56482970,"+","MLT1J1","ERVL-MaLR","LTR_or_other",20.7,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA2;EnhG1",57232,"upstream",-57232,FALSE,"50_to_100kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
14,"ENSG00000159461.15","AMFR","red",6,0.822654727713528,-0.338535050639144,FALSE,"chr16","-",56425545,56325545,56525545,"chr16_56483467_56483527_MLT1J1",56483467,56483527,"+","MLT1J1","ERVL-MaLR","LTR_or_other",16.4,2,"E100;E108",TRUE,TRUE,TRUE,"EnhG1",57922,"upstream",-57922,FALSE,"50_to_100kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
15,"ENSG00000159461.15","AMFR","red",6,0.822654727713528,-0.338535050639144,FALSE,"chr16","-",56425545,56325545,56525545,"chr16_56359586_56360188_LTR49-int",56359586,56360188,"+","LTR49-int","ERV1","internal",23.1,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1;EnhA2",65357,"downstream",65357,FALSE,"50_to_100kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
16,"ENSG00000229152.2","ANKRD10-IT1","greenyellow",18,0.73523184777,0.322680355937556,FALSE,"chr13","-",110899172,110799172,110999172,"chr13_110917362_110917917_MER41A",110917362,110917917,"+","MER41A","ERV1","LTR_or_other",7.4,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1;EnhA2",18190,"upstream",-18190,FALSE,"10_to_50kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
17,"ENSG00000229152.2","ANKRD10-IT1","greenyellow",18,0.73523184777,0.322680355937556,FALSE,"chr13","-",110899172,110799172,110999172,"chr13_110919759_110919984_MLT1C",110919759,110919984,"+","MLT1C","ERVL-MaLR","LTR_or_other",14.7,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA2",20587,"upstream",-20587,FALSE,"10_to_50kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
18,"ENSG00000229152.2","ANKRD10-IT1","greenyellow",18,0.73523184777,0.322680355937556,FALSE,"chr13","-",110899172,110799172,110999172,"chr13_110925156_110925699_MER41A",110925156,110925699,"+","MER41A","ERV1","LTR_or_other",8.8,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1;EnhA2",25984,"upstream",-25984,FALSE,"10_to_50kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
19,"ENSG00000229152.2","ANKRD10-IT1","greenyellow",18,0.73523184777,0.322680355937556,FALSE,"chr13","-",110899172,110799172,110999172,"chr13_110872228_110872456_MLT1F2",110872228,110872456,"+","MLT1F2","ERVL-MaLR","LTR_or_other",26.7,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1;EnhA2",26716,"downstream",26716,FALSE,"10_to_50kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
20,"ENSG00000229152.2","ANKRD10-IT1","greenyellow",18,0.73523184777,0.322680355937556,FALSE,"chr13","-",110899172,110799172,110999172,"chr13_110870853_110871407_PRIMA4_LTR",110870853,110871407,"+","PRIMA4_LTR","ERV1","LTR_or_other",9.6,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1;EnhA2",27765,"downstream",27765,FALSE,"10_to_50kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
21,"ENSG00000131408.15","NR1H2","red",23,0.776544055711363,-0.321688365336486,FALSE,"chr19","+",50329653,50229653,50429653,"chr19_50234120_50234268_MLT1C",50234120,50234268,"-","MLT1C","ERVL-MaLR","LTR_or_other",22.1,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1;EnhA2",95385,"upstream",-95385,FALSE,"50_to_100kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
22,"ENSG00000131408.15","NR1H2","red",23,0.776544055711363,-0.321688365336486,FALSE,"chr19","+",50329653,50229653,50429653,"chr19_50233527_50233833_MLT1C",50233527,50233833,"-","MLT1C","ERVL-MaLR","LTR_or_other",22.1,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1;EnhA2",95820,"upstream",-95820,FALSE,"50_to_100kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
23,"ENSG00000100031.19","GGT1","greenyellow",27,0.709415299130616,0.318140983495448,FALSE,"chr22","+",24594811,24494811,24694811,"chr22_24561374_24561474_MLT1B",24561374,24561474,"-","MLT1B","ERVL-MaLR","LTR_or_other",14.7,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA2;EnhG1",33337,"upstream",-33337,FALSE,"10_to_50kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
24,"ENSG00000100031.19","GGT1","greenyellow",27,0.709415299130616,0.318140983495448,FALSE,"chr22","+",24594811,24494811,24694811,"chr22_24551811_24552188_MLT1A1",24551811,24552188,"+","MLT1A1","ERVL-MaLR","LTR_or_other",20.4,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1;EnhA2",42623,"upstream",-42623,TRUE,"10_to_50kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
25,"ENSG00000204070.10","SYS1","red",19,0.790253146539313,-0.30906814668776,FALSE,"chr20","+",45361937,45261937,45461937,"chr20_45355874_45355924_MLT1H",45355874,45355924,"+","MLT1H","ERVL-MaLR","LTR_or_other",14.3,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1;EnhA2",6013,"upstream",-6013,TRUE,"within_10kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
26,"ENSG00000204070.10","SYS1","red",19,0.790253146539313,-0.30906814668776,FALSE,"chr20","+",45361937,45261937,45461937,"chr20_45322957_45323473_MLT1F",45322957,45323473,"+","MLT1F","ERVL-MaLR","LTR_or_other",19.9,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA2",38464,"upstream",-38464,TRUE,"10_to_50kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
27,"ENSG00000204070.10","SYS1","red",19,0.790253146539313,-0.30906814668776,FALSE,"chr20","+",45361937,45261937,45461937,"chr20_45411132_45411368_MLT1J",45411132,45411368,"-","MLT1J","ERVL-MaLR","LTR_or_other",27.3,2,"E100;E108",TRUE,TRUE,TRUE,"EnhG1;EnhG2",49195,"downstream",49195,FALSE,"10_to_50kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
28,"ENSG00000204410.16","MSH5","greenyellow",2,0.799085901683392,0.29775185006286,FALSE,"chr6","+",31739677,31639677,31839677,"chr6_31837600_31837910_MSTA",31837600,31837910,"-","MSTA","ERVL-MaLR","LTR_or_other",14.5,2,"E100;E108",TRUE,TRUE,TRUE,"EnhG1;EnhG2",97923,"downstream",97923,FALSE,"50_to_100kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
29,"ENSG00000182841.13","RRP7BP","greenyellow",15,0.74093566229267,0.293096021333581,FALSE,"chr22","-",42582039,42482039,42682039,"chr22_42677199_42677513_THE1D",42677199,42677513,"+","THE1D","ERVL-MaLR","LTR_or_other",15.4,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1;EnhA2",95160,"upstream",-95160,FALSE,"50_to_100kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
30,"ENSG00000182841.13","RRP7BP","greenyellow",15,0.74093566229267,0.293096021333581,FALSE,"chr22","-",42582039,42482039,42682039,"chr22_42680611_42680977_ERVL-E-int",42680611,42680977,"+","ERVL-E-int","ERVL","internal",29.1,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1;EnhA2",98572,"upstream",-98572,FALSE,"50_to_100kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
31,"ENSG00000126243.9","LRFN3","red",8,0.819547804643716,-0.291055642976653,FALSE,"chr19","+",35935358,35835358,36035358,"chr19_35999156_35999425_LTR16E1",35999156,35999425,"+","LTR16E1","ERVL","LTR_or_other",22.2,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1;EnhA2",63798,"downstream",63798,TRUE,"50_to_100kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
32,"ENSG00000140688.17","RUSF1","greenyellow",3,0.79551634473466,0.284997183241554,FALSE,"chr16","-",31509167,31409167,31609167,"chr16_31452889_31452980_LTR47B4",31452889,31452980,"+","LTR47B4","ERVL","LTR_or_other",9.8,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1;EnhA2",56187,"downstream",56187,FALSE,"50_to_100kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
33,"ENSG00000140688.17","RUSF1","greenyellow",3,0.79551634473466,0.284997183241554,FALSE,"chr16","-",31509167,31409167,31609167,"chr16_31431278_31431471_MLT1K",31431278,31431471,"+","MLT1K","ERVL-MaLR","LTR_or_other",28.2,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1",77696,"downstream",77696,FALSE,"50_to_100kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
34,"ENSG00000170919.16","TPT1-AS1","greenyellow",4,0.792252435253589,0.278580021432576,FALSE,"chr13","+",45341345,45241345,45441345,"chr13_45325702_45326193_MLT1H",45325702,45326193,"-","MLT1H","ERVL-MaLR","LTR_or_other",22,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1;EnhA2",15152,"upstream",-15152,FALSE,"10_to_50kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
35,"ENSG00000170919.16","TPT1-AS1","greenyellow",4,0.792252435253589,0.278580021432576,FALSE,"chr13","+",45341345,45241345,45441345,"chr13_45385464_45385486_MLT1I",45385464,45385486,"+","MLT1I","ERVL-MaLR","LTR_or_other",28.8,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1;EnhA2",44119,"downstream",44119,TRUE,"10_to_50kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
36,"ENSG00000203761.5","MSTO2P","greenyellow",17,0.736740242908939,0.276331577814602,FALSE,"chr1","+",155745829,155645829,155845829,"chr1_155845121_155845330_MER41B",155845121,155845330,"+","MER41B","ERV1","LTR_or_other",19.1,2,"E100;E108",TRUE,TRUE,TRUE,"EnhG1",99292,"downstream",99292,TRUE,"50_to_100kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
37,"ENSG00000116809.12","ZBTB17","red",16,0.793861457571298,-0.275975880590784,FALSE,"chr1","-",15976132,15876132,16076132,"chr1_15952815_15952969_MLT1H",15952815,15952969,"+","MLT1H","ERVL-MaLR","LTR_or_other",31.2,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1",23163,"downstream",23163,FALSE,"10_to_50kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
38,"ENSG00000105171.10","POP4","red",28,0.766878697522235,-0.27401893961655,FALSE,"chr19","+",29606283,29506283,29706283,"chr19_29673301_29673391_LTR16C",29673301,29673391,"+","LTR16C","ERVL","LTR_or_other",25.3,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA2;EnhG2",67018,"downstream",67018,TRUE,"50_to_100kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
39,"ENSG00000105171.10","POP4","red",28,0.766878697522235,-0.27401893961655,FALSE,"chr19","+",29606283,29506283,29706283,"chr19_29673548_29673670_LTR16C",29673548,29673670,"+","LTR16C","ERVL","LTR_or_other",25.3,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA2;EnhG2",67265,"downstream",67265,TRUE,"50_to_100kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
40,"ENSG00000105171.10","POP4","red",28,0.766878697522235,-0.27401893961655,FALSE,"chr19","+",29606283,29506283,29706283,"chr19_29675393_29675514_MLT1K",29675393,29675514,"-","MLT1K","ERVL-MaLR","LTR_or_other",29.2,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA2;EnhG2",69110,"downstream",69110,FALSE,"50_to_100kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
41,"ENSG00000105171.10","POP4","red",28,0.766878697522235,-0.27401893961655,FALSE,"chr19","+",29606283,29506283,29706283,"chr19_29682746_29682871_MLT1K",29682746,29682871,"+","MLT1K","ERVL-MaLR","LTR_or_other",32.8,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1;EnhA2",76463,"downstream",76463,TRUE,"50_to_100kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
42,"ENSG00000100605.17","ITPK1","red",11,0.806390150435206,-0.265868240808662,FALSE,"chr14","-",93116320,93016320,93216320,"chr14_93018026_93018470_LTR33",93018026,93018470,"+","LTR33","ERVL","LTR_or_other",28.2,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1",97850,"downstream",97850,FALSE,"50_to_100kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
43,"ENSG00000140931.20","CMTM3","turquoise",30,0.833579629373121,0.26502718364569,FALSE,"chr16","+",66603874,66503874,66703874,"chr16_66517999_66518159_LTR91",66517999,66518159,"-","LTR91","ERVL","LTR_or_other",34.4,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1",85715,"upstream",-85715,FALSE,"50_to_100kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
44,"ENSG00000279744.1","ENSG00000279744","midnightblue",16,0.696354643162743,0.262306068227034,FALSE,"chr17","+",82462601,82362601,82562601,"chr17_82457038_82457193_LTR8B",82457038,82457193,"+","LTR8B","ERV1","LTR_or_other",17.2,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1;EnhA2",5408,"upstream",-5408,TRUE,"within_10kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
45,"ENSG00000279744.1","ENSG00000279744","midnightblue",16,0.696354643162743,0.262306068227034,FALSE,"chr17","+",82462601,82362601,82562601,"chr17_82456170_82456726_LTR8B",82456170,82456726,"+","LTR8B","ERV1","LTR_or_other",17.2,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1;EnhA2",5875,"upstream",-5875,TRUE,"within_10kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
46,"ENSG00000070010.19","UFD1","red",18,0.792970729568532,-0.243584337926498,FALSE,"chr22","-",19479202,19379202,19579202,"chr22_19442521_19442567_MLT1L",19442521,19442567,"-","MLT1L","ERVL-MaLR","LTR_or_other",31.2,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA2;EnhG1",36635,"downstream",36635,TRUE,"10_to_50kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
47,"ENSG00000108474.17","PIGL","greenyellow",7,0.786807365936996,0.236193281345372,FALSE,"chr17","+",16217209,16117209,16317209,"chr17_16287121_16287229_LTR16E2",16287121,16287229,"+","LTR16E2","ERVL","LTR_or_other",24.8,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1;EnhA2",69912,"downstream",69912,TRUE,"50_to_100kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
48,"ENSG00000108474.17","PIGL","greenyellow",7,0.786807365936996,0.236193281345372,FALSE,"chr17","+",16217209,16117209,16317209,"chr17_16287285_16287512_LTR16E2",16287285,16287512,"+","LTR16E2","ERVL","LTR_or_other",26.1,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1;EnhA2",70076,"downstream",70076,TRUE,"50_to_100kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
49,"ENSG00000281026.1","N4BP2L2-IT2","midnightblue",2,0.800384957786534,0.232820016078177,FALSE,"chr13","-",32509395,32409395,32609395,"chr13_32530756_32531300_MLT1F2",32530756,32531300,"+","MLT1F2","ERVL-MaLR","LTR_or_other",24.9,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1",21361,"upstream",-21361,FALSE,"10_to_50kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
50,"ENSG00000281026.1","N4BP2L2-IT2","midnightblue",2,0.800384957786534,0.232820016078177,FALSE,"chr13","-",32509395,32409395,32609395,"chr13_32471303_32471903_LTR18B",32471303,32471903,"+","LTR18B","ERVL","LTR_or_other",13.7,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1",37492,"downstream",37492,FALSE,"10_to_50kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
51,"ENSG00000198925.12","ATG9A","red",26,0.770339163084615,-0.228270189376807,FALSE,"chr2","-",219229717,219129717,219329717,"chr2_219277556_219278123_MLT1N2",219277556,219278123,"-","MLT1N2","ERVL-MaLR","LTR_or_other",31.2,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1",47839,"upstream",-47839,TRUE,"10_to_50kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
52,"ENSG00000141753.7","IGFBP4","pink",9,0.845966240431316,0.22718819144687,FALSE,"chr17","+",40443450,40343450,40543450,"chr17_40535931_40536131_MLT1J1",40535931,40536131,"-","MLT1J1","ERVL-MaLR","LTR_or_other",26,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1;EnhA2",92481,"downstream",92481,FALSE,"50_to_100kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
53,"ENSG00000141753.7","IGFBP4","pink",9,0.845966240431316,0.22718819144687,FALSE,"chr17","+",40443450,40343450,40543450,"chr17_40542056_40542165_MLT1F2",40542056,40542165,"-","MLT1F2","ERVL-MaLR","LTR_or_other",19.9,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1;EnhA2",98606,"downstream",98606,FALSE,"50_to_100kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
54,"ENSG00000085998.15","POMGNT1","red",29,0.766203068069669,-0.226992721817358,FALSE,"chr1","-",46203238,46103238,46303238,"chr1_46149831_46150121_MER41B",46149831,46150121,"+","MER41B","ERV1","LTR_or_other",14.5,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA2",53117,"downstream",53117,FALSE,"50_to_100kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
55,"ENSG00000050165.19","DKK3","turquoise",29,0.835132614887983,0.224885486069804,FALSE,"chr11","-",12009769,11909769,12109769,"chr11_12065920_12066461_MLT1F2",12065920,12066461,"-","MLT1F2","ERVL-MaLR","LTR_or_other",20.5,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1;EnhA2",56151,"upstream",-56151,TRUE,"50_to_100kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
56,"ENSG00000050165.19","DKK3","turquoise",29,0.835132614887983,0.224885486069804,FALSE,"chr11","-",12009769,11909769,12109769,"chr11_12075499_12075709_MLT1L",12075499,12075709,"-","MLT1L","ERVL-MaLR","LTR_or_other",28,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1",65730,"upstream",-65730,TRUE,"50_to_100kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
57,"ENSG00000050165.19","DKK3","turquoise",29,0.835132614887983,0.224885486069804,FALSE,"chr11","-",12009769,11909769,12109769,"chr11_12075819_12076276_MLT1C",12075819,12076276,"-","MLT1C","ERVL-MaLR","LTR_or_other",19.5,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1;EnhA2",66050,"upstream",-66050,TRUE,"50_to_100kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
58,"ENSG00000108821.14","COL1A1","turquoise",7,0.856736831197645,0.221048967014509,FALSE,"chr17","-",50201631,50101631,50301631,"chr17_50222435_50222759_MLT1K",50222435,50222759,"-","MLT1K","ERVL-MaLR","LTR_or_other",28.2,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1;EnhA2",20804,"upstream",-20804,TRUE,"10_to_50kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
59,"ENSG00000108821.14","COL1A1","turquoise",7,0.856736831197645,0.221048967014509,FALSE,"chr17","-",50201631,50101631,50301631,"chr17_50107995_50108062_MLT1J",50107995,50108062,"-","MLT1J","ERVL-MaLR","LTR_or_other",19.1,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA2;EnhG1",93569,"downstream",93569,TRUE,"50_to_100kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
