"gene","module","gene_clean","symbol","is_GenAge","symbol_gtf","gene_type","chromosome","gene_start","gene_end","strand","TSS","gene_length"
"ENSG00000125414.19","yellow","ENSG00000125414","MYH2",FALSE,"MYH2","protein_coding","chr17",10521148,10549700,"-",10549700,28553
"ENSG00000229425.4","red","ENSG00000229425","ENSG00000229425",FALSE,"ENSG00000229425","lncRNA","chr21",15368966,15627342,"-",15627342,258377
"ENSG00000231170.7","brown","ENSG00000231170","ENSG00000231170",FALSE,"ENSG00000231170","lncRNA","chr7",95545191,95615132,"+",95545191,69942
"ENSG00000146809.14","blue","ENSG00000146809","ASB15",FALSE,"ASB15","protein_coding","chr7",123567010,123639481,"+",123567010,72472
"ENSG00000223749.11","greenyellow","ENSG00000223749","MIR503HG",FALSE,"MIR503HG","lncRNA","chrX",134543119,134546613,"-",134546613,3495
"ENSG00000101892.12","blue","ENSG00000101892","ATP1B4",FALSE,"ATP1B4","protein_coding","chrX",120362085,120383249,"+",120362085,21165
"ENSG00000107518.18","grey","ENSG00000107518","ATRNL1",FALSE,"ATRNL1","protein_coding","chr10",115093365,115948999,"+",115093365,855635
"ENSG00000106483.12","turquoise","ENSG00000106483","SFRP4",FALSE,"SFRP4","protein_coding","chr7",37905932,38025695,"-",38025695,119764
"ENSG00000176909.12","blue","ENSG00000176909","MAMSTR",FALSE,"MAMSTR","protein_coding","chr19",48712725,48719725,"-",48719725,7001
"ENSG00000149485.19","brown","ENSG00000149485","FADS1",FALSE,"FADS1","protein_coding","chr11",61799627,61829318,"-",61829318,29692
"ENSG00000081181.8","grey","ENSG00000081181","ARG2",FALSE,"ARG2","protein_coding","chr14",67619920,67651708,"+",67619920,31789
"ENSG00000137825.11","brown","ENSG00000137825","ITPKA",FALSE,"ITPKA","protein_coding","chr15",41493393,41503551,"+",41493393,10159
"ENSG00000094796.5","blue","ENSG00000094796","KRT31",FALSE,"KRT31","protein_coding","chr17",41393721,41397608,"-",41397608,3888
"ENSG00000047662.5","turquoise","ENSG00000047662","FAM184B",FALSE,"FAM184B","protein_coding","chr4",17635009,17781621,"-",17781621,146613
"ENSG00000283787.2","blue","ENSG00000283787","PRR33",FALSE,"PRR33","protein_coding","chr11",1888078,1891772,"-",1891772,3695
"ENSG00000185028.4","blue","ENSG00000185028","LRRC14B",FALSE,"LRRC14B","protein_coding","chr5",191495,195777,"+",191495,4283
"ENSG00000241945.8","grey","ENSG00000241945","PWP2",FALSE,"PWP2","protein_coding","chr21",44107373,44131181,"+",44107373,23809
"ENSG00000092054.13","yellow","ENSG00000092054","MYH7",FALSE,"MYH7","protein_coding","chr14",23412740,23435660,"-",23435660,22921
"ENSG00000244242.2","brown","ENSG00000244242","IFITM10",FALSE,"IFITM10","protein_coding","chr11",1732406,1750595,"-",1750595,18190
"ENSG00000163209.15","skyblue","ENSG00000163209","SPRR3",FALSE,"SPRR3","protein_coding","chr1",153001747,153003856,"+",153001747,2110
"ENSG00000164694.17","blue","ENSG00000164694","FNDC1",FALSE,"FNDC1","protein_coding","chr6",159169400,159272108,"+",159169400,102709
"ENSG00000159399.10","grey60","ENSG00000159399","HK2",FALSE,"HK2","protein_coding","chr2",74834127,74893359,"+",74834127,59233
"ENSG00000135346.9","grey","ENSG00000135346","CGA",FALSE,"CGA","protein_coding","chr6",87085498,87095106,"-",87095106,9609
"ENSG00000134716.11","blue","ENSG00000134716","CYP2J2",FALSE,"CYP2J2","protein_coding","chr1",59893308,59926773,"-",59926773,33466
"ENSG00000172508.11","blue","ENSG00000172508","CARNS1",FALSE,"CARNS1","protein_coding","chr11",67414968,67425607,"+",67414968,10640
"ENSG00000172215.6","midnightblue","ENSG00000172215","CXCR6",FALSE,"CXCR6","protein_coding","chr3",45940933,45948351,"+",45940933,7419
"ENSG00000164530.15","blue","ENSG00000164530","PI16",FALSE,"PI16","protein_coding","chr6",36948263,36964837,"+",36948263,16575
"ENSG00000130957.5","yellow","ENSG00000130957","FBP2",FALSE,"FBP2","protein_coding","chr9",94558720,94593763,"-",94593763,35044
"ENSG00000108231.14","blue","ENSG00000108231","LGI1",FALSE,"LGI1","protein_coding","chr10",93757840,93806272,"+",93757840,48433
"ENSG00000159173.19","blue","ENSG00000159173","TNNI1",FALSE,"TNNI1","protein_coding","chr1",201403768,201429866,"-",201429866,26099
"ENSG00000166343.10","blue","ENSG00000166343","MSS51",FALSE,"MSS51","protein_coding","chr10",73423579,73433561,"-",73433561,9983
"ENSG00000164398.15","blue","ENSG00000164398","ACSL6",FALSE,"ACSL6","protein_coding","chr5",131949973,132012243,"-",132012243,62271
"ENSG00000101670.12","black","ENSG00000101670","LIPG",FALSE,"LIPG","protein_coding","chr18",49560699,49599185,"+",49560699,38487
"ENSG00000244734.4","midnightblue","ENSG00000244734","HBB",FALSE,"HBB","protein_coding","chr11",5225464,5229395,"-",5229395,3932
"ENSG00000164591.14","blue","ENSG00000164591","MYOZ3",FALSE,"MYOZ3","protein_coding","chr5",150660882,150679368,"+",150660882,18487
"ENSG00000205364.4","black","ENSG00000205364","MT1M",FALSE,"MT1M","protein_coding","chr16",56632659,56633981,"+",56632659,1323
"ENSG00000231274.5","grey60","ENSG00000231274","SBK3",FALSE,"SBK3","protein_coding","chr19",55540656,55545543,"-",55545543,4888
"ENSG00000135821.19","brown","ENSG00000135821","GLUL",FALSE,"GLUL","protein_coding","chr1",182378098,182392206,"-",182392206,14109
"ENSG00000205678.8","blue","ENSG00000205678","TECRL",FALSE,"TECRL","protein_coding","chr4",64275257,64409468,"-",64409468,134212
"ENSG00000183873.18","turquoise","ENSG00000183873","SCN5A",FALSE,"SCN5A","protein_coding","chr3",38548057,38649687,"-",38649687,101631
"ENSG00000175606.11","orange","ENSG00000175606","TMEM70",FALSE,"TMEM70","protein_coding","chr8",73972437,73982783,"+",73972437,10347
"ENSG00000169715.15","black","ENSG00000169715","MT1E",TRUE,"MT1E","protein_coding","chr16",56625475,56627112,"+",56625475,1638
"ENSG00000100362.13","grey","ENSG00000100362","PVALB",FALSE,"PVALB","protein_coding","chr22",36800684,36819479,"-",36819479,18796
"ENSG00000173114.13","brown","ENSG00000173114","LRRN3",FALSE,"LRRN3","protein_coding","chr7",111091006,111125454,"+",111091006,34449
"ENSG00000178882.15","blue","ENSG00000178882","RFLNA",FALSE,"RFLNA","protein_coding","chr12",124149595,124316024,"+",124149595,166430
"ENSG00000125148.7","black","ENSG00000125148","MT2A",FALSE,"MT2A","protein_coding","chr16",56608584,56609497,"+",56608584,914
"ENSG00000140795.13","blue","ENSG00000140795","MYLK3",FALSE,"MYLK3","protein_coding","chr16",46702282,46763246,"-",46763246,60965
"ENSG00000119125.17","grey","ENSG00000119125","GDA",FALSE,"GDA","protein_coding","chr9",72114595,72257193,"+",72114595,142599
"ENSG00000089199.10","greenyellow","ENSG00000089199","CHGB",FALSE,"CHGB","protein_coding","chr20",5911510,5925353,"+",5911510,13844
"ENSG00000144485.11","brown","ENSG00000144485","HES6",FALSE,"HES6","protein_coding","chr2",238238267,238240662,"-",238240662,2396
