"erv_fragment_id","chromosome","repeat_start","repeat_end","repeat_length","erv_strand","repName","repFamily","repeat_part","percent_divergence","epigenome_support_n","supporting_epigenomes","supported_in_E100","supported_in_E108","enhancer_states","enhancer_overlap_pair_n","consensus_support"
"chr1_103899826_103900257_LTR16A","chr1",103899826,103900257,432,"-","LTR16A","ERVL","LTR_or_other",27.5,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_108188590_108189111_LTR45C","chr1",108188590,108189111,522,"-","LTR45C","ERV1","LTR_or_other",13.7,1,"E100",TRUE,FALSE,"EnhA1",1,FALSE
"chr1_108190042_108190587_MER89","chr1",108190042,108190587,546,"-","MER89","ERV1","LTR_or_other",19.2,1,"E100",TRUE,FALSE,"EnhA1",1,FALSE
"chr1_10855034_10855185_MER83","chr1",10855034,10855185,152,"+","MER83","ERV1","LTR_or_other",10.3,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_108556016_108556214_LTR67B","chr1",108556016,108556214,199,"+","LTR67B","ERVL","LTR_or_other",27.6,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_108556320_108556733_MLT1J1","chr1",108556320,108556733,414,"-","MLT1J1","ERVL-MaLR","LTR_or_other",28.9,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_108556773_108556889_LTR67B","chr1",108556773,108556889,117,"+","LTR67B","ERVL","LTR_or_other",24.8,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_108556925_108557100_LTR33","chr1",108556925,108557100,176,"+","LTR33","ERVL","LTR_or_other",27.4,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_108557130_108557226_LTR33","chr1",108557130,108557226,97,"+","LTR33","ERVL","LTR_or_other",22.7,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_108592778_108592875_MLT1J","chr1",108592778,108592875,98,"-","MLT1J","ERVL-MaLR","LTR_or_other",27.5,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_108646465_108646553_MLT1J","chr1",108646465,108646553,89,"+","MLT1J","ERVL-MaLR","LTR_or_other",30.5,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_108646554_108646954_MSTA","chr1",108646554,108646954,401,"+","MSTA","ERVL-MaLR","LTR_or_other",16.5,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_108646955_108647233_MLT1J","chr1",108646955,108647233,279,"+","MLT1J","ERVL-MaLR","LTR_or_other",30.5,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_108794273_108794653_THE1D","chr1",108794273,108794653,381,"-","THE1D","ERVL-MaLR","LTR_or_other",13.8,1,"E100",TRUE,FALSE,"EnhG1",1,FALSE
"chr1_108814213_108814624_LTR54B","chr1",108814213,108814624,412,"-","LTR54B","ERV1","LTR_or_other",15.3,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_109284063_109284687_MER41B","chr1",109284063,109284687,625,"+","MER41B","ERV1","LTR_or_other",10.6,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_109384607_109384796_MSTD","chr1",109384607,109384796,190,"-","MSTD","ERVL-MaLR","LTR_or_other",19.8,2,"E100;E108",TRUE,TRUE,"EnhA2",2,TRUE
"chr1_109385106_109385287_MSTD","chr1",109385106,109385287,182,"-","MSTD","ERVL-MaLR","LTR_or_other",19.8,2,"E100;E108",TRUE,TRUE,"EnhA2",2,TRUE
"chr1_109438211_109438852_ERV3-16A3_I-int","chr1",109438211,109438852,642,"+","ERV3-16A3_I-int","ERVL","internal",21.8,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_109438892_109439099_LTR16B","chr1",109438892,109439099,208,"+","LTR16B","ERVL","LTR_or_other",25.1,1,"E108",FALSE,TRUE,"EnhA1;EnhA2",2,FALSE
"chr1_109675868_109676220_THE1B","chr1",109675868,109676220,353,"-","THE1B","ERVL-MaLR","LTR_or_other",13.3,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_10973588_10974728_MER52C","chr1",10973588,10974728,1141,"+","MER52C","ERV1","LTR_or_other",12,2,"E100;E108",TRUE,TRUE,"EnhA1;EnhA2",3,TRUE
"chr1_10974729_10974923_MER77","chr1",10974729,10974923,195,"+","MER77","ERVL","LTR_or_other",24.5,2,"E100;E108",TRUE,TRUE,"EnhA1;EnhA2",2,TRUE
"chr1_109864097_109864616_MER41B","chr1",109864097,109864616,520,"-","MER41B","ERV1","LTR_or_other",14.1,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_110187138_110187575_MER57B1","chr1",110187138,110187575,438,"-","MER57B1","ERV1","LTR_or_other",10.2,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_110264037_110264765_LTR39","chr1",110264037,110264765,729,"-","LTR39","ERV1","LTR_or_other",15,1,"E108",FALSE,TRUE,"EnhA1;EnhA2",2,FALSE
"chr1_110282910_110283329_MSTB2","chr1",110282910,110283329,420,"-","MSTB2","ERVL-MaLR","LTR_or_other",15.2,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_110383239_110383805_LTR8","chr1",110383239,110383805,567,"-","LTR8","ERV1","LTR_or_other",12.9,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_111217246_111217780_MLT1L","chr1",111217246,111217780,535,"+","MLT1L","ERVL-MaLR","LTR_or_other",29,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_111274660_111274727_MLT1H","chr1",111274660,111274727,68,"-","MLT1H","ERVL-MaLR","LTR_or_other",22.2,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_111489163_111489563_MLT1B","chr1",111489163,111489563,401,"+","MLT1B","ERVL-MaLR","LTR_or_other",18.5,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_111921412_111921548_LTR33","chr1",111921412,111921548,137,"-","LTR33","ERVL","LTR_or_other",22.6,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_112265589_112266062_MLT1J","chr1",112265589,112266062,474,"+","MLT1J","ERVL-MaLR","LTR_or_other",28.6,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_112359759_112360169_LTR78B","chr1",112359759,112360169,411,"+","LTR78B","ERV1","LTR_or_other",26.8,2,"E100;E108",TRUE,TRUE,"EnhA2",2,TRUE
"chr1_112360911_112361305_ERV3-16A3_LTR","chr1",112360911,112361305,395,"+","ERV3-16A3_LTR","ERVL","LTR_or_other",28.2,2,"E100;E108",TRUE,TRUE,"EnhA2",2,TRUE
"chr1_112388078_112388216_MLT1K","chr1",112388078,112388216,139,"+","MLT1K","ERVL-MaLR","LTR_or_other",26.8,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_112393158_112393229_MLT1C","chr1",112393158,112393229,72,"+","MLT1C","ERVL-MaLR","LTR_or_other",19.7,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_112631748_112631785_MER57B2","chr1",112631748,112631785,38,"-","MER57B2","ERV1","LTR_or_other",13.2,1,"E100",TRUE,FALSE,"EnhG1",1,FALSE
"chr1_112806422_112806635_MER39B","chr1",112806422,112806635,214,"-","MER39B","ERV1","LTR_or_other",11.7,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_112807241_112807596_MER39B","chr1",112807241,112807596,356,"-","MER39B","ERV1","LTR_or_other",11.7,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_112808692_112808859_MLT1F","chr1",112808692,112808859,168,"+","MLT1F","ERVL-MaLR","LTR_or_other",24.3,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_112985133_112985250_MLT1J1","chr1",112985133,112985250,118,"+","MLT1J1","ERVL-MaLR","LTR_or_other",25.1,1,"E108",FALSE,TRUE,"EnhA1;EnhA2",2,FALSE
"chr1_112985350_112985677_MLT1A0","chr1",112985350,112985677,328,"-","MLT1A0","ERVL-MaLR","LTR_or_other",23.3,2,"E100;E108",TRUE,TRUE,"EnhA1;EnhA2",2,TRUE
"chr1_112985685_112986812_MLT1A0-int","chr1",112985685,112986812,1128,"-","MLT1A0-int","ERVL-MaLR","internal",23.1,1,"E100",TRUE,FALSE,"EnhA1;EnhA2",2,FALSE
"chr1_112988112_112988461_MLT1A1","chr1",112988112,112988461,350,"-","MLT1A1","ERVL-MaLR","LTR_or_other",22,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_112988507_112988622_MLT1J1","chr1",112988507,112988622,116,"+","MLT1J1","ERVL-MaLR","LTR_or_other",25.9,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_112999761_113000000_MER21B","chr1",112999761,113000000,240,"-","MER21B","ERVL","LTR_or_other",17.1,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_113000001_113000194_MER21B","chr1",113000001,113000194,194,"-","MER21B","ERVL","LTR_or_other",16.7,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_1132633_1132986_MLT1B","chr1",1132633,1132986,354,"-","MLT1B","ERVL-MaLR","LTR_or_other",26.9,2,"E100;E108",TRUE,TRUE,"EnhA2",2,TRUE
"chr1_1135295_1135888_MER41B","chr1",1135295,1135888,594,"-","MER41B","ERV1","LTR_or_other",15.3,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_113783542_113783894_MLT1J","chr1",113783542,113783894,353,"+","MLT1J","ERVL-MaLR","LTR_or_other",27.4,2,"E100;E108",TRUE,TRUE,"EnhA1;EnhA2",2,TRUE
"chr1_113786301_113786686_MLT1D","chr1",113786301,113786686,386,"+","MLT1D","ERVL-MaLR","LTR_or_other",19.9,2,"E100;E108",TRUE,TRUE,"EnhA1;EnhA2",2,TRUE
"chr1_113788984_113789803_MER21B","chr1",113788984,113789803,820,"+","MER21B","ERVL","LTR_or_other",18.9,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_114021677_114021726_PABL_B","chr1",114021677,114021726,50,"+","PABL_B","ERV1","LTR_or_other",22,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_114021840_114022391_PABL_A","chr1",114021840,114022391,552,"+","PABL_A","ERV1","LTR_or_other",28.2,2,"E100;E108",TRUE,TRUE,"EnhA1;EnhA2",2,TRUE
"chr1_114023161_114023795_LTR9D","chr1",114023161,114023795,635,"+","LTR9D","ERV1","LTR_or_other",18.4,2,"E100;E108",TRUE,TRUE,"EnhA1;EnhA2",2,TRUE
"chr1_114024298_114024379_MER4B","chr1",114024298,114024379,82,"+","MER4B","ERV1","LTR_or_other",12.5,2,"E100;E108",TRUE,TRUE,"EnhA1",2,TRUE
"chr1_114024406_114024594_PABL_B","chr1",114024406,114024594,189,"-","PABL_B","ERV1","LTR_or_other",14.8,1,"E108",FALSE,TRUE,"EnhA1;EnhA2",2,FALSE
"chr1_114024669_114024709_LTR9D","chr1",114024669,114024709,41,"-","LTR9D","ERV1","LTR_or_other",15.2,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_114025008_114025169_LTR9D","chr1",114025008,114025169,162,"-","LTR9D","ERV1","LTR_or_other",16.3,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_114025153_114025568_MER4B","chr1",114025153,114025568,416,"+","MER4B","ERV1","LTR_or_other",8.7,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_114025876_114026013_MER4B","chr1",114025876,114026013,138,"+","MER4B","ERV1","LTR_or_other",8.9,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_114026933_114027205_MLT1C","chr1",114026933,114027205,273,"-","MLT1C","ERVL-MaLR","LTR_or_other",25.6,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_114027527_114027692_MLT1C","chr1",114027527,114027692,166,"-","MLT1C","ERVL-MaLR","LTR_or_other",19.3,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_114369150_114369592_LTR2","chr1",114369150,114369592,443,"-","LTR2","ERV1","LTR_or_other",9.9,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_114369593_114370997_MER4-int","chr1",114369593,114370997,1405,"+","MER4-int","ERV1","internal",10.6,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_114645178_114645567_MLT1B","chr1",114645178,114645567,390,"+","MLT1B","ERVL-MaLR","LTR_or_other",15.3,1,"E100",TRUE,FALSE,"EnhG1",1,FALSE
"chr1_114697180_114697604_MLT1J","chr1",114697180,114697604,425,"+","MLT1J","ERVL-MaLR","LTR_or_other",30.8,2,"E100;E108",TRUE,TRUE,"EnhA2",2,TRUE
"chr1_114781741_114781879_LTR38","chr1",114781741,114781879,139,"-","LTR38","ERV1","LTR_or_other",18,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_114781887_114782226_MER4B-int","chr1",114781887,114782226,340,"-","MER4B-int","ERV1","internal",18.9,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_115099956_115100069_LTR78B","chr1",115099956,115100069,114,"+","LTR78B","ERV1","LTR_or_other",26.9,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_115134326_115134614_MLT1M","chr1",115134326,115134614,289,"+","MLT1M","ERVL-MaLR","LTR_or_other",26.9,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_115170845_115171438_MLT1F2","chr1",115170845,115171438,594,"-","MLT1F2","ERVL-MaLR","LTR_or_other",25.1,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_115758498_115758940_MSTB1","chr1",115758498,115758940,443,"+","MSTB1","ERVL-MaLR","LTR_or_other",13.1,2,"E100;E108",TRUE,TRUE,"EnhA1",2,TRUE
"chr1_115891205_115891457_MLT1I","chr1",115891205,115891457,253,"+","MLT1I","ERVL-MaLR","LTR_or_other",32.8,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_116347794_116347952_LTR16C","chr1",116347794,116347952,159,"+","LTR16C","ERVL","LTR_or_other",30.4,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_116871017_116871235_MLT1H2","chr1",116871017,116871235,219,"-","MLT1H2","ERVL-MaLR","LTR_or_other",23,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_116991724_116992260_MER74A","chr1",116991724,116992260,537,"-","MER74A","ERVL","LTR_or_other",18.4,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_11732645_11732829_MER39","chr1",11732645,11732829,185,"+","MER39","ERV1","LTR_or_other",17.4,2,"E100;E108",TRUE,TRUE,"EnhA2",2,TRUE
"chr1_11733124_11733550_MER39","chr1",11733124,11733550,427,"+","MER39","ERV1","LTR_or_other",17.4,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_11735362_11735702_MER31B","chr1",11735362,11735702,341,"+","MER31B","ERV1","LTR_or_other",15.2,2,"E100;E108",TRUE,TRUE,"EnhA1;EnhA2",2,TRUE
"chr1_117598589_117598935_LTR33","chr1",117598589,117598935,347,"+","LTR33","ERVL","LTR_or_other",23.5,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_117600626_117601149_MLT1N2","chr1",117600626,117601149,524,"+","MLT1N2","ERVL-MaLR","LTR_or_other",26.9,2,"E100;E108",TRUE,TRUE,"EnhA1",2,TRUE
"chr1_117676882_117677133_LTR79","chr1",117676882,117677133,252,"+","LTR79","ERVL","LTR_or_other",27,1,"E100",TRUE,FALSE,"EnhA1;EnhA2",2,FALSE
"chr1_117697319_117697479_MLT1J","chr1",117697319,117697479,161,"+","MLT1J","ERVL-MaLR","LTR_or_other",22.4,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_117824305_117824668_MLT1J1","chr1",117824305,117824668,364,"+","MLT1J1","ERVL-MaLR","LTR_or_other",30,1,"E108",FALSE,TRUE,"EnhA1;EnhA2",3,FALSE
"chr1_117826893_117827272_LTR16","chr1",117826893,117827272,380,"+","LTR16","ERVL","LTR_or_other",24.5,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_11799310_11799623_MLT1O","chr1",11799310,11799623,314,"+","MLT1O","ERVL-MaLR","LTR_or_other",30.8,1,"E108",FALSE,TRUE,"EnhG1",1,FALSE
"chr1_118288861_118289126_LTR52-int","chr1",118288861,118289126,266,"-","LTR52-int","ERVL","internal",22.4,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_118289307_118289719_MSTA","chr1",118289307,118289719,413,"-","MSTA","ERVL-MaLR","LTR_or_other",15.1,2,"E100;E108",TRUE,TRUE,"EnhA1;EnhA2",3,TRUE
"chr1_118293551_118294031_MLT2A1","chr1",118293551,118294031,481,"-","MLT2A1","ERVL","LTR_or_other",10.6,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_11871893_11872145_LTR50","chr1",11871893,11872145,253,"+","LTR50","ERVL","LTR_or_other",19.4,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_11872539_11872995_MLT1C","chr1",11872539,11872995,457,"-","MLT1C","ERVL-MaLR","LTR_or_other",26.2,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_11874648_11875081_MLT1C","chr1",11874648,11875081,434,"+","MLT1C","ERVL-MaLR","LTR_or_other",22.8,2,"E100;E108",TRUE,TRUE,"EnhA1",2,TRUE
"chr1_11875262_11875651_MLT1G1","chr1",11875262,11875651,390,"+","MLT1G1","ERVL-MaLR","LTR_or_other",23.5,2,"E100;E108",TRUE,TRUE,"EnhA1",2,TRUE
"chr1_11881859_11882365_MLT1D","chr1",11881859,11882365,507,"+","MLT1D","ERVL-MaLR","LTR_or_other",20.9,2,"E100;E108",TRUE,TRUE,"EnhA1;EnhA2",2,TRUE
"chr1_118901116_118901479_MSTD","chr1",118901116,118901479,364,"-","MSTD","ERVL-MaLR","LTR_or_other",18.3,1,"E108",FALSE,TRUE,"EnhA1;EnhA2",2,FALSE
"chr1_118963576_118963665_MLT1J2","chr1",118963576,118963665,90,"+","MLT1J2","ERVL-MaLR","LTR_or_other",21.9,2,"E100;E108",TRUE,TRUE,"EnhA1;EnhA2",2,TRUE
"chr1_118963701_118964164_MLT1H2","chr1",118963701,118964164,464,"+","MLT1H2","ERVL-MaLR","LTR_or_other",26.8,2,"E100;E108",TRUE,TRUE,"EnhA1;EnhA2",2,TRUE
"chr1_118964165_118964252_MLT1J2","chr1",118964165,118964252,88,"+","MLT1J2","ERVL-MaLR","LTR_or_other",20,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_118969871_118970244_MSTA","chr1",118969871,118970244,374,"+","MSTA","ERVL-MaLR","LTR_or_other",13.5,1,"E100",TRUE,FALSE,"EnhA1",1,FALSE
"chr1_119001944_119002012_LTR28B","chr1",119001944,119002012,69,"-","LTR28B","ERV1","LTR_or_other",15.9,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_11910769_11911307_MLT2B3","chr1",11910769,11911307,539,"-","MLT2B3","ERVL","LTR_or_other",23.5,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_119146981_119147297_LTR33","chr1",119146981,119147297,317,"-","LTR33","ERVL","LTR_or_other",25.6,1,"E100",TRUE,FALSE,"EnhG1",1,FALSE
"chr1_11952832_11953060_MLT1A0","chr1",11952832,11953060,229,"-","MLT1A0","ERVL-MaLR","LTR_or_other",21.1,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_11984496_11985279_MER21A","chr1",11984496,11985279,784,"+","MER21A","ERVL","LTR_or_other",16.3,2,"E100;E108",TRUE,TRUE,"EnhA2;EnhG1;EnhG2",4,TRUE
"chr1_12015512_12015634_LTR51","chr1",12015512,12015634,123,"+","LTR51","ERV1","LTR_or_other",20.3,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_120290041_120290467_MER4A1","chr1",120290041,120290467,427,"-","MER4A1","ERV1","LTR_or_other",10.1,2,"E100;E108",TRUE,TRUE,"EnhA1;EnhA2",3,TRUE
"chr1_120296472_120296528_MER4A1","chr1",120296472,120296528,57,"-","MER4A1","ERV1","LTR_or_other",10.5,1,"E100",TRUE,FALSE,"EnhA1;EnhA2",2,FALSE
"chr1_120299698_120300193_MLT1F2","chr1",120299698,120300193,496,"-","MLT1F2","ERVL-MaLR","LTR_or_other",24.7,2,"E100;E108",TRUE,TRUE,"EnhA1;EnhA2",2,TRUE
"chr1_120320117_120320521_MLT1A0","chr1",120320117,120320521,405,"+","MLT1A0","ERVL-MaLR","LTR_or_other",17.3,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_12113001_12113318_MLT1G3","chr1",12113001,12113318,318,"-","MLT1G3","ERVL-MaLR","LTR_or_other",24.6,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_12113770_12113996_MLT1G3","chr1",12113770,12113996,227,"-","MLT1G3","ERVL-MaLR","LTR_or_other",25.4,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_1214911_1215005_MLT1B","chr1",1214911,1215005,95,"+","MLT1B","ERVL-MaLR","LTR_or_other",20.4,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_12149724_12150146_MLT1G1","chr1",12149724,12150146,423,"-","MLT1G1","ERVL-MaLR","LTR_or_other",26.8,1,"E108",FALSE,TRUE,"EnhA1;EnhA2",2,FALSE
"chr1_121516235_121516635_MER95","chr1",121516235,121516635,401,"+","MER95","ERV1","LTR_or_other",22.2,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_12187704_12187906_LTR16A1","chr1",12187704,12187906,203,"-","LTR16A1","ERVL","LTR_or_other",18.9,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_12245978_12246332_MER67B","chr1",12245978,12246332,355,"-","MER67B","ERV1","LTR_or_other",16.4,1,"E100",TRUE,FALSE,"EnhG1",1,FALSE
"chr1_12246564_12246848_MER67B","chr1",12246564,12246848,285,"-","MER67B","ERV1","LTR_or_other",24.6,1,"E100",TRUE,FALSE,"EnhG1",1,FALSE
"chr1_1225180_1225263_MSTD","chr1",1225180,1225263,84,"+","MSTD","ERVL-MaLR","LTR_or_other",22.6,1,"E108",FALSE,TRUE,"EnhG1",1,FALSE
"chr1_12251839_12252250_MLT1C","chr1",12251839,12252250,412,"-","MLT1C","ERVL-MaLR","LTR_or_other",24.3,1,"E108",FALSE,TRUE,"EnhG1",1,FALSE
"chr1_12381476_12381885_MER57A1","chr1",12381476,12381885,410,"+","MER57A1","ERV1","LTR_or_other",9.5,2,"E100;E108",TRUE,TRUE,"EnhA2",2,TRUE
"chr1_12498618_12498954_MLT1A","chr1",12498618,12498954,337,"-","MLT1A","ERVL-MaLR","LTR_or_other",21.4,1,"E108",FALSE,TRUE,"EnhG1",1,FALSE
"chr1_12539435_12539619_MLT1H1","chr1",12539435,12539619,185,"+","MLT1H1","ERVL-MaLR","LTR_or_other",25.1,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_12539922_12539985_MLT1H1","chr1",12539922,12539985,64,"+","MLT1H1","ERVL-MaLR","LTR_or_other",23.5,2,"E100;E108",TRUE,TRUE,"EnhA1;EnhA2",2,TRUE
"chr1_12553939_12554471_MLT1K","chr1",12553939,12554471,533,"+","MLT1K","ERVL-MaLR","LTR_or_other",30.1,2,"E100;E108",TRUE,TRUE,"EnhA1;EnhA2",2,TRUE
"chr1_12566139_12566428_MLT1I","chr1",12566139,12566428,290,"+","MLT1I","ERVL-MaLR","LTR_or_other",30.8,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_12592244_12592705_MLT1C","chr1",12592244,12592705,462,"+","MLT1C","ERVL-MaLR","LTR_or_other",28.1,2,"E100;E108",TRUE,TRUE,"EnhA1",2,TRUE
